ndc,formulary_status,tier,pa_required,ql_limits,effective_date
3693871386,Non-Preferred,1,False,,2025-04-27
3039678075,Non-Preferred,1,False,30/30 days,2025-05-31
9563422231,Preferred,2,True,,2025-03-24
6987544085,Preferred,3,True,,2025-02-09
4477721364,Preferred,2,False,,2025-01-12
7486749130,Non-Preferred,2,False,,2025-09-01
1254751600,Non-Preferred,2,True,1/day,2025-05-31
8517210722,Not Covered,1,True,60/30 days,2025-01-07
2320611961,Non-Preferred,4,True,,2025-03-05
6260724222,Non-Preferred,1,False,30/30 days,2024-10-24
6815517973,Preferred,2,True,60/30 days,2025-04-18
6946528366,Non-Preferred,1,False,30/30 days,2024-10-09
4922206011,Not Covered,2,False,90/30 days,2025-06-29
5676575787,Non-Preferred,4,True,30/30 days,2025-06-24
7606979090,Non-Preferred,2,True,30/30 days,2025-09-08
8408829738,Not Covered,2,False,60/30 days,2024-10-25
2056168526,Non-Preferred,3,False,30/30 days,2025-06-15
4424235982,Non-Preferred,3,False,90/30 days,2024-12-07
5556492856,Prior Auth,1,False,,2024-09-21
3099383762,Preferred,3,True,60/30 days,2025-03-28
9662482528,Preferred,1,False,30/30 days,2025-02-05
8127868456,Prior Auth,2,False,1/day,2025-05-09
2438146799,Non-Preferred,2,False,1/day,2025-09-05
1507584015,Preferred,1,False,30/30 days,2024-10-01
1224811583,Non-Preferred,2,True,60/30 days,2024-09-24
8723190426,Non-Preferred,1,False,30/30 days,2025-01-01
7857477825,Prior Auth,3,False,30/30 days,2025-02-17
4998295437,Preferred,1,True,,2025-05-30
2266442791,Non-Preferred,3,True,30/30 days,2025-01-02
8763774895,Preferred,2,True,,2025-01-28
9171900890,Preferred,2,True,60/30 days,2025-08-24
9646926463,Non-Preferred,1,True,90/30 days,2024-12-20
7579305851,Preferred,2,True,30/30 days,2025-07-01
9426758083,Non-Preferred,2,True,1/day,2025-03-21
5028771608,Preferred,1,False,30/30 days,2025-06-13
3635252300,Non-Preferred,2,False,1/day,2025-04-20
3742146348,Prior Auth,1,True,90/30 days,2024-10-04
3495233425,Prior Auth,1,False,,2024-09-21
4720856717,Not Covered,1,True,30/30 days,2025-06-28
