ndc,manufacturer,manufacturing_site,lot_info,expiry_tracking
8181532250,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT370623,24 months
3632240276,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT412523,36 months
8785662991,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT624418,18 months
6965355045,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT912174,16 months
5531096062,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT301211,15 months
9927894955,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT174482,12 months
7217992637,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT820052,35 months
7202761555,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT447315,31 months
8163573877,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT445297,14 months
5701173549,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT674704,27 months
3768372224,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT980029,20 months
1442312745,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT157028,18 months
6909014367,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT950863,25 months
6267050187,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT360542,22 months
7923428864,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT849682,24 months
1642939618,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT819378,29 months
4573718745,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT914114,35 months
7930081999,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT261859,25 months
9825510396,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT488247,15 months
6585338661,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT133731,30 months
4472349160,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT102105,29 months
1407985341,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT717900,14 months
2254182762,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT463245,18 months
9002727685,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT263896,29 months
1221868930,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT622323,13 months
5500725641,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT793062,14 months
5484578554,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT463118,13 months
8505278189,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT207876,28 months
6429080640,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT785579,26 months
9654962641,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT779054,24 months
5636715047,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT844317,36 months
5191672467,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT785825,33 months
3716296372,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT891250,22 months
5392424235,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT318397,21 months
8478565810,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT646261,33 months
3059726819,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT217633,34 months
7301081584,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT973503,33 months
3051613022,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT449604,18 months
3294456037,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT878353,13 months
3854438434,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT409372,13 months
7922092459,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT912158,17 months
9711362277,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT525333,13 months
4855184574,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT721985,15 months
7414891552,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT980734,28 months
5309115045,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT398469,15 months
7542560072,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT971666,12 months
6772051113,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT265220,35 months
6037254749,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT853868,25 months
8678050775,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT165269,34 months
3262991137,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT971024,20 months
2807777532,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT244404,31 months
9372367961,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT137053,12 months
2677914790,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT187701,28 months
8553797434,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT400235,17 months
7951959555,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT187584,21 months
6332179982,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT158076,24 months
3548123837,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT691569,20 months
5027873132,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT281813,27 months
5001084371,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT721240,12 months
3202070674,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT414574,34 months
