ndc,manufacturer,manufacturing_site,lot_info,expiry_tracking
1412442260,Pfizer,Pfizer Plant A,LOT696126,33 months
4633577552,Pfizer,Pfizer Facility 2,LOT638632,29 months
5456068655,Pfizer,Pfizer Facility 2,LOT149051,35 months
1631164641,Pfizer,Pfizer Plant B,LOT612822,28 months
1706594438,Pfizer,Pfizer Facility 1,LOT566405,30 months
3293093215,Pfizer,Pfizer Facility 1,LOT654590,35 months
3244575460,Pfizer,Pfizer Facility 1,LOT590926,27 months
3352949666,Pfizer,Pfizer Plant A,LOT793132,14 months
4459372899,Pfizer,Pfizer Facility 1,LOT619704,24 months
7738634566,Pfizer,Pfizer Plant A,LOT179801,30 months
2222569938,Pfizer,Pfizer Plant B,LOT618159,14 months
1921973787,Pfizer,Pfizer Plant A,LOT710523,31 months
8612079592,Pfizer,Pfizer Facility 1,LOT509272,24 months
3254043594,Pfizer,Pfizer Facility 2,LOT368330,28 months
3575394442,Pfizer,Pfizer Plant A,LOT517730,17 months
3040740741,Pfizer,Pfizer Plant B,LOT682745,36 months
9509980461,Pfizer,Pfizer Facility 2,LOT103371,15 months
5360634614,Pfizer,Pfizer Facility 1,LOT243971,30 months
4554589883,Pfizer,Pfizer Facility 2,LOT948843,12 months
3834979590,Pfizer,Pfizer Plant A,LOT634387,18 months
5584958728,Pfizer,Pfizer Facility 1,LOT342775,23 months
1957981396,Pfizer,Pfizer Facility 2,LOT542857,32 months
8693369954,Pfizer,Pfizer Plant B,LOT226034,24 months
1377767722,Pfizer,Pfizer Facility 1,LOT824458,31 months
4095668926,Pfizer,Pfizer Plant A,LOT903070,23 months
1559819444,Pfizer,Pfizer Facility 2,LOT380085,26 months
3804655863,Pfizer,Pfizer Facility 1,LOT146891,18 months
2817612913,Pfizer,Pfizer Facility 2,LOT144222,17 months
6474028282,Pfizer,Pfizer Plant A,LOT960448,34 months
9409245590,Pfizer,Pfizer Plant A,LOT327210,21 months
3272437669,Pfizer,Pfizer Facility 1,LOT715200,24 months
6800858481,Pfizer,Pfizer Facility 2,LOT987238,26 months
1148486499,Pfizer,Pfizer Facility 1,LOT983656,16 months
8444357874,Pfizer,Pfizer Plant B,LOT467159,31 months
1678545037,Pfizer,Pfizer Facility 1,LOT680712,26 months
6197857756,Pfizer,Pfizer Plant B,LOT651916,26 months
1710185557,Pfizer,Pfizer Facility 2,LOT633443,30 months
7852587217,Pfizer,Pfizer Facility 1,LOT377048,23 months
9574253212,Pfizer,Pfizer Plant B,LOT744052,21 months
9526610645,Pfizer,Pfizer Plant A,LOT853303,30 months
2473089541,Pfizer,Pfizer Plant A,LOT448524,27 months
3406196777,Pfizer,Pfizer Facility 2,LOT751424,27 months
2984050073,Pfizer,Pfizer Plant A,LOT212945,20 months
9501953120,Pfizer,Pfizer Plant B,LOT949858,35 months
6335037774,Pfizer,Pfizer Facility 1,LOT477113,33 months
2500222219,Pfizer,Pfizer Plant B,LOT441944,21 months
1285595273,Pfizer,Pfizer Facility 2,LOT462907,27 months
8330755541,Pfizer,Pfizer Plant A,LOT696887,17 months
2640467958,Pfizer,Pfizer Plant A,LOT786708,14 months
5108245996,Pfizer,Pfizer Plant A,LOT916390,12 months
6825939186,Pfizer,Pfizer Plant A,LOT608931,35 months
2542158527,Pfizer,Pfizer Plant A,LOT223314,12 months
8236380184,Pfizer,Pfizer Plant A,LOT364771,18 months
7827367258,Pfizer,Pfizer Plant A,LOT249114,36 months
5399447193,Pfizer,Pfizer Facility 2,LOT250754,12 months
9552245160,Pfizer,Pfizer Plant B,LOT629498,35 months
4340752054,Pfizer,Pfizer Plant A,LOT485465,14 months
3326033015,Pfizer,Pfizer Plant A,LOT827866,19 months
6385675122,Pfizer,Pfizer Plant B,LOT690537,36 months
2729348312,Pfizer,Pfizer Plant A,LOT926255,32 months
