ndc,awp,wac,nadac,federal_rebate,state_rebate,effective_date
9268692049,2143.43,1821.92,857.37,0.2142,0.1213,2025-08-16
3812232992,2221.36,1888.16,888.54,0.1488,0.0986,2025-03-07
5953313654,1203.58,1023.04,481.43,0.1961,0.0797,2025-05-11
3902186885,1062.45,903.08,424.98,0.1682,0.1468,2025-03-27
3426540160,1098.52,933.74,439.41,0.1308,0.1088,2025-09-16
3687259212,1867.55,1587.42,747.02,0.1656,0.1369,2024-10-26
6482640110,755.81,642.44,302.32,0.1548,0.0971,2025-06-26
4082570729,788.45,670.18,315.38,0.1647,0.1253,2025-04-06
7865195039,1988.44,1690.17,795.38,0.1848,0.1346,2024-10-22
2938083084,437.34,371.74,174.94,0.2232,0.1459,2024-11-20
8420897395,244.53,207.85,97.81,0.1681,0.0801,2024-12-14
2230257416,633.37,538.36,253.35,0.1803,0.0604,2025-03-20
8779820329,1310.61,1114.02,524.24,0.1991,0.0764,2025-08-18
9326388562,202.92,172.48,81.17,0.1657,0.0834,2025-06-14
3046967866,1137.56,966.93,455.02,0.1164,0.1115,2025-08-29
5292418154,1165.31,990.51,466.12,0.2045,0.0765,2024-12-11
9298979753,1256.38,1067.92,502.55,0.1616,0.07,2024-11-17
9041410533,1688.38,1435.12,675.35,0.1984,0.0641,2025-06-15
3110414663,1677.64,1425.99,671.06,0.1973,0.0598,2025-07-22
2010026021,474.84,403.61,189.94,0.1979,0.1199,2025-02-10
6578830950,1508.58,1282.29,603.43,0.2056,0.1362,2025-05-11
2326743382,821.05,697.89,328.42,0.2077,0.0951,2024-12-12
1530236125,2239.56,1903.63,895.82,0.1882,0.0629,2025-07-13
9722272719,1623.72,1380.16,649.49,0.1688,0.104,2025-01-07
7481350749,565.33,480.53,226.13,0.2127,0.1279,2025-06-15
6079114940,233.02,198.07,93.21,0.2004,0.1366,2025-05-31
1667283750,2189.52,1861.09,875.81,0.1636,0.0919,2025-04-15
3429427812,592.76,503.85,237.1,0.224,0.0702,2024-12-10
4558044189,1445.09,1228.33,578.04,0.2219,0.128,2025-05-11
4449565699,2382.45,2025.08,952.98,0.1192,0.1435,2024-10-15
6215998787,1111.84,945.06,444.74,0.1655,0.0907,2025-04-06
1768290060,731.64,621.89,292.66,0.1128,0.1043,2025-09-18
6339226356,1264.59,1074.9,505.84,0.2255,0.1267,2024-11-19
5441657730,2084.04,1771.43,833.62,0.1338,0.1091,2024-10-13
4393110284,486.4,413.44,194.56,0.1406,0.1104,2025-04-05
3022677990,2430.08,2065.57,972.03,0.2142,0.1077,2025-01-21
2439397955,441.47,375.25,176.59,0.1189,0.1418,2024-09-25
3369987914,378.15,321.43,151.26,0.1961,0.1251,2024-10-26
9540484745,507.18,431.1,202.87,0.1592,0.1176,2024-12-03
3998766418,1746.4,1484.44,698.56,0.1861,0.0626,2024-10-08
8351749623,1652.1,1404.28,660.84,0.2101,0.0911,2025-03-18
2951583555,1857.22,1578.64,742.89,0.2025,0.0629,2024-12-29
6577162541,1346.47,1144.5,538.59,0.1213,0.1241,2025-07-04
7534665084,1039.0,883.15,415.6,0.1734,0.0696,2025-08-29
4177817135,767.46,652.34,306.98,0.138,0.1475,2024-12-15
2826429797,810.75,689.14,324.3,0.1085,0.0523,2024-11-20
5432531791,636.83,541.31,254.73,0.1021,0.0619,2025-06-08
7692147543,236.16,200.74,94.46,0.1088,0.0756,2025-06-14
5941538118,271.73,230.97,108.69,0.2128,0.1324,2025-05-08
6204877912,2029.83,1725.36,811.93,0.1961,0.119,2025-08-22
3135929479,1528.72,1299.41,611.49,0.1596,0.1439,2025-05-10
6653992611,2467.47,2097.35,986.99,0.1078,0.0988,2025-09-18
8455292071,1394.37,1185.21,557.75,0.2095,0.1414,2024-10-18
3205014372,2160.86,1836.73,864.34,0.1982,0.1162,2025-03-14
1048770196,2184.27,1856.63,873.71,0.2157,0.1298,2025-04-06
4031740384,850.53,722.95,340.21,0.2174,0.0703,2025-07-08
1581610943,811.85,690.07,324.74,0.1088,0.1337,2025-04-21
7355910240,2074.13,1763.01,829.65,0.2279,0.1133,2025-03-13
7776796130,2307.34,1961.24,922.94,0.1536,0.0659,2024-12-25
7547966588,1647.92,1400.73,659.17,0.1631,0.0583,2025-06-21
9083195813,2288.09,1944.88,915.24,0.1809,0.1443,2024-12-09
8328518442,1337.25,1136.66,534.9,0.1918,0.1191,2025-09-03
6183248448,1266.79,1076.77,506.72,0.174,0.0582,2025-06-30
7594941534,1028.61,874.32,411.44,0.1603,0.0651,2024-10-06
9637848423,449.36,381.96,179.74,0.1345,0.0792,2025-07-13
7320751176,71.26,60.57,28.5,0.2158,0.0709,2025-03-13
9400778524,1552.53,1319.65,621.01,0.1135,0.0535,2024-09-24
4662759058,1581.61,1344.37,632.64,0.1233,0.0728,2025-06-15
3001886059,1244.08,1057.47,497.63,0.1361,0.1318,2025-03-15
6343717013,1964.48,1669.81,785.79,0.116,0.1317,2025-03-27
8995323041,111.26,94.57,44.5,0.181,0.136,2025-01-29
8490324415,1545.43,1313.62,618.17,0.2198,0.0643,2024-10-13
8106033357,1341.67,1140.42,536.67,0.1855,0.1266,2025-09-14
3937098915,2098.75,1783.94,839.5,0.225,0.0768,2025-01-10
4788050279,107.71,91.55,43.08,0.145,0.1098,2025-02-04
7040936762,762.83,648.41,305.13,0.183,0.0772,2025-06-21
5024679176,930.5,790.92,372.2,0.164,0.0966,2025-07-20
1413461790,193.88,164.8,77.55,0.1481,0.1291,2025-09-07
6583568267,692.34,588.49,276.94,0.1725,0.1411,2024-11-04
4793561642,690.7,587.1,276.28,0.2167,0.1268,2025-01-10
7965523843,1147.15,975.08,458.86,0.1235,0.0946,2025-04-26
4251894127,726.12,617.2,290.45,0.1031,0.106,2025-04-08
3658574758,2099.4,1784.49,839.76,0.1179,0.1237,2024-11-08
9579722344,2232.61,1897.72,893.04,0.1631,0.1238,2025-02-23
8103646566,2343.4,1991.89,937.36,0.1645,0.1351,2024-12-15
4575876331,666.72,566.71,266.69,0.1909,0.0886,2025-06-30
8216985184,587.22,499.14,234.89,0.1967,0.0827,2025-02-06
3110229529,1375.51,1169.18,550.2,0.1498,0.1381,2025-04-29
7312657915,1063.3,903.8,425.32,0.1503,0.1016,2025-02-01
2289868935,1176.33,999.88,470.53,0.116,0.1033,2024-12-05
7686287016,287.24,244.15,114.9,0.219,0.0539,2025-08-29
3313564325,259.88,220.9,103.95,0.1762,0.1066,2025-04-21
9409328661,304.5,258.82,121.8,0.1584,0.0853,2025-03-06
9621648797,2265.9,1926.02,906.36,0.2152,0.0963,2024-12-04
2141152149,820.94,697.8,328.38,0.1381,0.1196,2025-06-10
8120289693,1496.23,1271.8,598.49,0.1761,0.1413,2025-07-18
3585024694,2046.38,1739.42,818.55,0.2238,0.0995,2025-08-27
5414568118,1773.63,1507.59,709.45,0.1411,0.1466,2025-04-13
8235412920,1306.68,1110.68,522.67,0.167,0.1196,2025-09-02
2168298196,2381.24,2024.05,952.5,0.1857,0.0948,2024-09-30
9530830912,1315.11,1117.84,526.04,0.1727,0.1424,2024-11-30
7693789890,651.78,554.01,260.71,0.2027,0.1401,2024-10-31
1068048433,1409.08,1197.72,563.63,0.1881,0.1054,2024-11-05
1775840897,543.66,462.11,217.46,0.205,0.1499,2025-02-07
2238965015,178.06,151.35,71.22,0.1707,0.054,2025-06-07
8594968173,1462.33,1242.98,584.93,0.1962,0.0681,2024-12-05
7358671066,1418.63,1205.84,567.45,0.1542,0.1077,2024-11-04
4700586498,107.77,91.6,43.11,0.1589,0.0976,2025-05-19
3568098133,1840.23,1564.2,736.09,0.2122,0.1285,2024-11-02
6698525786,533.34,453.34,213.34,0.2244,0.0676,2025-05-21
1036882949,2291.04,1947.38,916.42,0.2046,0.1434,2024-09-30
3265076561,1697.35,1442.75,678.94,0.1791,0.1419,2025-04-01
5808028220,1221.71,1038.45,488.68,0.1309,0.0969,2025-06-08
8329859259,2101.05,1785.89,840.42,0.1834,0.0689,2025-03-30
9416136558,458.79,389.97,183.52,0.2164,0.068,2025-04-21
7002065087,339.73,288.77,135.89,0.1512,0.1464,2025-05-26
1100473662,325.9,277.01,130.36,0.2082,0.1154,2024-10-02
1894269884,1270.97,1080.32,508.39,0.1631,0.0948,2024-12-31
4845083620,1852.67,1574.77,741.07,0.1336,0.1287,2025-06-16
9967327027,1159.74,985.78,463.9,0.2033,0.1273,2025-05-12
6541488741,364.88,310.15,145.95,0.1075,0.1404,2025-01-01
6388494396,1793.72,1524.66,717.49,0.1536,0.1277,2025-03-09
4833370475,1163.91,989.32,465.56,0.1716,0.0506,2024-12-14
8747774220,1664.57,1414.88,665.83,0.1921,0.052,2025-06-29
7266449261,584.97,497.22,233.99,0.1234,0.1007,2025-08-13
1488476934,156.89,133.36,62.76,0.1513,0.0888,2025-05-28
