ndc,therapeutic_class,subclass,mechanism,contraindications
9158835450,Cardiovascular,Cardiovascular Subclass 1,ARB,Standard cardiovascular contraindications apply
4703686472,Cardiovascular,Cardiovascular Subclass 1,Beta Blocker,Standard cardiovascular contraindications apply
8539149776,Cardiovascular,Cardiovascular Subclass 4,ACE Inhibitor,Standard cardiovascular contraindications apply
3803552430,Cardiovascular,Cardiovascular Subclass 4,ARB,Standard cardiovascular contraindications apply
7951251286,Cardiovascular,Cardiovascular Subclass 2,Calcium Channel Blocker,Standard cardiovascular contraindications apply
9733718431,Cardiovascular,Cardiovascular Subclass 4,Beta Blocker,Standard cardiovascular contraindications apply
6196482671,Cardiovascular,Cardiovascular Subclass 4,Calcium Channel Blocker,Standard cardiovascular contraindications apply
4941397475,Cardiovascular,Cardiovascular Subclass 4,Calcium Channel Blocker,Standard cardiovascular contraindications apply
3479952340,Cardiovascular,Cardiovascular Subclass 5,Calcium Channel Blocker,Standard cardiovascular contraindications apply
7647763812,Cardiovascular,Cardiovascular Subclass 4,Diuretic,Standard cardiovascular contraindications apply
2343666127,Cardiovascular,Cardiovascular Subclass 4,Diuretic,Standard cardiovascular contraindications apply
9140966927,Cardiovascular,Cardiovascular Subclass 4,Beta Blocker,Standard cardiovascular contraindications apply
7072826470,Cardiovascular,Cardiovascular Subclass 1,Beta Blocker,Standard cardiovascular contraindications apply
6537190724,Cardiovascular,Cardiovascular Subclass 3,ACE Inhibitor,Standard cardiovascular contraindications apply
4919712750,Cardiovascular,Cardiovascular Subclass 5,Diuretic,Standard cardiovascular contraindications apply
1106965994,Cardiovascular,Cardiovascular Subclass 3,ACE Inhibitor,Standard cardiovascular contraindications apply
6419544721,Cardiovascular,Cardiovascular Subclass 4,Diuretic,Standard cardiovascular contraindications apply
2758590438,Cardiovascular,Cardiovascular Subclass 1,Beta Blocker,Standard cardiovascular contraindications apply
7117846319,Cardiovascular,Cardiovascular Subclass 1,Beta Blocker,Standard cardiovascular contraindications apply
1176164127,Cardiovascular,Cardiovascular Subclass 3,Diuretic,Standard cardiovascular contraindications apply
1633654415,Cardiovascular,Cardiovascular Subclass 5,ARB,Standard cardiovascular contraindications apply
