ndc,therapeutic_class,subclass,mechanism,contraindications
6080432179,Oncology,Oncology Subclass 1,Hormone Therapy,Standard oncology contraindications apply
9862453123,Oncology,Oncology Subclass 1,Chemotherapy,Standard oncology contraindications apply
9208315774,Oncology,Oncology Subclass 2,Targeted Therapy,Standard oncology contraindications apply
1785173675,Oncology,Oncology Subclass 5,Immunotherapy,Standard oncology contraindications apply
1628666144,Oncology,Oncology Subclass 1,Immunotherapy,Standard oncology contraindications apply
5878065890,Oncology,Oncology Subclass 3,Chemotherapy,Standard oncology contraindications apply
7001136422,Oncology,Oncology Subclass 3,Targeted Therapy,Standard oncology contraindications apply
1960627352,Oncology,Oncology Subclass 2,Immunotherapy,Standard oncology contraindications apply
9922957840,Oncology,Oncology Subclass 3,Chemotherapy,Standard oncology contraindications apply
4325982853,Oncology,Oncology Subclass 5,Immunotherapy,Standard oncology contraindications apply
1807217086,Oncology,Oncology Subclass 2,Chemotherapy,Standard oncology contraindications apply
2926054951,Oncology,Oncology Subclass 3,Chemotherapy,Standard oncology contraindications apply
6594747321,Oncology,Oncology Subclass 1,Targeted Therapy,Standard oncology contraindications apply
9503153632,Oncology,Oncology Subclass 4,Hormone Therapy,Standard oncology contraindications apply
1715026657,Oncology,Oncology Subclass 4,Chemotherapy,Standard oncology contraindications apply
1555422434,Oncology,Oncology Subclass 2,Chemotherapy,Standard oncology contraindications apply
2456773544,Oncology,Oncology Subclass 1,Immunotherapy,Standard oncology contraindications apply
5370233181,Oncology,Oncology Subclass 1,Hormone Therapy,Standard oncology contraindications apply
4213791660,Oncology,Oncology Subclass 3,Targeted Therapy,Standard oncology contraindications apply
8962057641,Oncology,Oncology Subclass 2,Targeted Therapy,Standard oncology contraindications apply
3341837961,Oncology,Oncology Subclass 3,Targeted Therapy,Standard oncology contraindications apply
5082183411,Oncology,Oncology Subclass 5,Hormone Therapy,Standard oncology contraindications apply
9635811593,Oncology,Oncology Subclass 5,Immunotherapy,Standard oncology contraindications apply
2943289090,Oncology,Oncology Subclass 4,Chemotherapy,Standard oncology contraindications apply
5846541299,Oncology,Oncology Subclass 3,Hormone Therapy,Standard oncology contraindications apply
