ndc,fmt_drug,mbid,status,start_date,end_date,load_date,effective_date,expiration_date,created_by,updated_by,review_status,notes
2099767005,LISINOPRIL,CARDIO_ACE_001,Approved,2025-01-25,,2025-09-07,2024-12-16,,system_admin,system_admin,Approved,MASTER baseline formulary entry
2099767005,LISINOPRIL,AK_CARDIO_001,Review,2025-05-27,,2025-09-07,2024-12-11,,ak_pharmacist,ak_reviewer,Pending,AK state policy - review per remote access guidelines
6132393937,PREDNISONE,MASTER_GEN_726,Approved,2024-11-11,,2025-09-11,2024-12-22,,system_admin,system_admin,Approved,MASTER baseline formulary entry
6132393937,PREDNISONE,AK_GEN_659,PDL,2025-04-05,,2025-09-09,2024-11-30,,ak_manager,ak_manager,Approved,AK state policy - pdl per remote access guidelines
6132393937,PREDNISONE,MO_GEN_880,PDL,2025-06-23,,2025-09-11,2025-06-18,,mo_pharmacist,mo_analyst,Approved,MO Medicaid formulary - pdl status
7103348799,SERTRALINE,PSYCH_SSRI_001,Restricted,2024-10-27,,2025-09-04,2025-02-17,,system_admin,system_admin,Approved,MASTER baseline formulary entry
7103348799,SERTRALINE,AK_PSYCH_001,Restricted,2025-06-09,2025-08-09,2025-09-02,2025-03-18,2025-08-09,ak_pharmacist,ak_pharmacist,Pending,AK state policy - restricted per remote access guidelines
7103348799,SERTRALINE,MO_PSYCH_001,PDL,2025-04-29,,2025-09-12,2025-06-25,,mo_pharmacist,mo_director,Approved,MO Medicaid formulary - pdl status
2812267158,SERTRALINE,PSYCH_SSRI_001,PDL,2025-01-10,,2025-09-07,2024-11-14,,system_admin,system_admin,Approved,MASTER baseline formulary entry
2812267158,SERTRALINE,MO_PSYCH_001,PDL,2025-03-15,,2025-09-15,2025-06-08,,mo_analyst,mo_pharmacist,Approved,MO Medicaid formulary - pdl status
3783584446,LISINOPRIL,CARDIO_ACE_001,Approved,2024-11-14,,2025-09-08,2024-08-31,,system_admin,system_admin,Approved,MASTER baseline formulary entry
3783584446,LISINOPRIL,CARDIO_ACE_001,Approved,2025-06-27,,2025-09-17,2025-06-21,,mo_pharmacist,mo_pharmacist,Approved,MO Medicaid formulary - approved status
2777899166,SIMVASTATIN,CARDIO_STATIN_001,Approved,2024-09-14,,2025-09-03,2024-09-09,,system_admin,system_admin,Approved,MASTER baseline formulary entry
2777899166,SIMVASTATIN,MO_CARDIO_003,Approved,2025-05-31,,2025-09-07,2025-05-19,,mo_analyst,mo_analyst,Approved,MO Medicaid formulary - approved status
1166663125,GABAPENTIN,NEURO_ANTI_001,PDL,2024-12-13,,2025-09-07,2024-12-03,,system_admin,system_admin,Approved,MASTER baseline formulary entry
1166663125,GABAPENTIN,NEURO_ANTI_001,PDL,2025-03-18,,2025-09-04,2025-06-08,,mo_analyst,mo_director,Approved,MO Medicaid formulary - pdl status
4878830965,METOPROLOL,CARDIO_BB_001,Restricted,2024-12-12,,2025-08-27,2025-01-02,,system_admin,system_admin,Approved,MASTER baseline formulary entry
4878830965,METOPROLOL,MO_CARDIO_002,PDL,2025-05-24,,2025-09-11,2025-05-25,,mo_pharmacist,mo_pharmacist,Approved,MO Medicaid formulary - pdl status
5361141518,FUROSEMIDE,MASTER_GEN_605,Restricted,2025-02-22,,2025-09-06,2024-10-08,,system_admin,system_admin,Approved,MASTER baseline formulary entry
5361141518,FUROSEMIDE,AK_GEN_398,Approved,2024-12-31,,2025-09-07,2025-02-03,,ak_reviewer,ak_pharmacist,Approved,AK state policy - approved per remote access guidelines
5361141518,FUROSEMIDE,MO_GEN_726,Approved,2025-04-27,,2025-09-10,2025-06-12,,mo_analyst,mo_director,Approved,MO Medicaid formulary - approved status
