ndc,formulary_status,tier,pa_required,ql_limits,effective_date
5678031544,Preferred,2,False,30/30 days,2024-11-02
4606974865,Non-Preferred,4,True,90/30 days,2025-03-21
2073974436,Not Covered,2,False,60/30 days,2024-12-30
9418276812,Not Covered,4,False,90/30 days,2025-01-11
7948053393,Non-Preferred,1,False,60/30 days,2025-03-27
2059531742,Non-Preferred,1,False,90/30 days,2025-04-11
7488716852,Non-Preferred,2,True,60/30 days,2024-11-28
6306051027,Prior Auth,2,True,1/day,2025-02-02
7351430631,Preferred,1,False,,2024-12-03
9157724361,Non-Preferred,1,False,90/30 days,2025-08-05
9824925027,Not Covered,3,True,60/30 days,2025-08-08
5342364571,Prior Auth,2,False,90/30 days,2025-09-01
2103956229,Preferred,4,True,60/30 days,2025-03-07
2048756771,Prior Auth,4,True,30/30 days,2025-08-06
5398830620,Non-Preferred,3,True,90/30 days,2025-04-05
2130650526,Prior Auth,1,True,30/30 days,2024-09-17
2745253061,Prior Auth,1,True,,2025-09-03
7127159453,Not Covered,1,False,1/day,2025-04-16
9655782235,Not Covered,3,False,30/30 days,2025-03-08
4735791713,Prior Auth,1,True,60/30 days,2025-06-14
9864144569,Prior Auth,4,True,60/30 days,2024-12-10
9708545517,Non-Preferred,4,False,,2025-09-01
1514953380,Not Covered,1,False,30/30 days,2025-04-25
3408966817,Non-Preferred,1,True,30/30 days,2025-02-15
1499183666,Preferred,3,True,90/30 days,2024-12-12
4884434930,Non-Preferred,4,True,,2024-10-16
3549599111,Prior Auth,4,True,1/day,2024-12-03
9880043321,Preferred,1,True,60/30 days,2025-09-03
1949757758,Prior Auth,2,True,60/30 days,2024-12-16
3763880338,Preferred,2,True,1/day,2024-12-10
4963149464,Not Covered,2,False,,2025-07-15
3437657526,Non-Preferred,3,False,30/30 days,2025-05-26
2122216470,Preferred,4,True,30/30 days,2025-03-04
2802115455,Prior Auth,4,False,1/day,2025-03-22
1316685693,Prior Auth,4,False,90/30 days,2025-02-17
5104890186,Not Covered,3,False,90/30 days,2025-01-08
6364998052,Not Covered,3,True,1/day,2025-04-22
6905363689,Preferred,1,True,90/30 days,2025-08-18
7687563171,Prior Auth,3,False,1/day,2025-08-02
9085287636,Not Covered,2,False,30/30 days,2024-10-18
8685149158,Prior Auth,3,True,30/30 days,2024-11-02
1485554493,Non-Preferred,3,True,1/day,2025-04-29
3939414974,Non-Preferred,3,False,60/30 days,2025-05-23
9641191698,Not Covered,3,False,30/30 days,2025-04-30
5715630686,Non-Preferred,3,False,,2025-04-23
8791397395,Prior Auth,1,True,90/30 days,2025-08-10
4713372481,Prior Auth,1,True,30/30 days,2024-12-07
8062729118,Not Covered,4,False,30/30 days,2024-12-12
1050988511,Not Covered,1,True,1/day,2025-04-16
4185376110,Not Covered,3,False,30/30 days,2025-03-11
4005490963,Preferred,2,True,60/30 days,2024-10-10
6170766831,Prior Auth,3,False,90/30 days,2025-07-02
1583328469,Prior Auth,2,True,1/day,2024-11-23
3629377180,Prior Auth,2,True,30/30 days,2025-02-11
5517091819,Non-Preferred,3,True,,2025-08-24
8050233893,Prior Auth,4,True,90/30 days,2025-04-30
