ndc,formulary_status,tier,pa_required,ql_limits,effective_date
4163513938,Non-Preferred,1,False,,2025-05-04
4140866884,Not Covered,2,True,60/30 days,2025-06-23
4257221340,Non-Preferred,2,True,1/day,2025-02-28
5509224327,Preferred,2,False,,2025-01-01
7094481930,Prior Auth,2,False,,2024-12-10
6123298563,Preferred,4,False,,2025-08-25
2797438455,Prior Auth,3,False,,2025-03-26
8895141822,Preferred,4,True,30/30 days,2025-06-17
1592528583,Non-Preferred,2,False,1/day,2025-08-03
1275168025,Preferred,2,False,90/30 days,2024-12-30
6827592147,Not Covered,4,False,30/30 days,2025-04-13
3318930623,Prior Auth,4,False,1/day,2025-04-16
4226456934,Preferred,2,True,1/day,2024-10-15
7683398776,Non-Preferred,1,True,,2025-02-21
3511747525,Prior Auth,2,False,90/30 days,2025-03-14
6343951487,Prior Auth,1,False,1/day,2024-10-29
2385558936,Preferred,1,True,60/30 days,2024-10-04
2763313946,Prior Auth,1,False,1/day,2024-10-08
6910309714,Prior Auth,1,False,1/day,2024-11-21
8921646834,Preferred,2,False,30/30 days,2024-12-07
2851684877,Preferred,2,False,90/30 days,2025-07-15
8827695647,Not Covered,3,False,30/30 days,2025-05-04
8501521590,Preferred,2,True,60/30 days,2025-04-20
3796418620,Non-Preferred,4,True,30/30 days,2025-03-02
2515895599,Non-Preferred,1,False,,2025-02-09
1849916247,Preferred,2,False,60/30 days,2025-03-17
9830757300,Preferred,4,True,60/30 days,2025-05-18
2498550497,Non-Preferred,2,True,,2025-02-07
5676271009,Non-Preferred,4,False,90/30 days,2025-06-23
9922458637,Non-Preferred,3,False,,2024-12-02
9378279023,Preferred,3,True,30/30 days,2025-08-02
9678893980,Non-Preferred,2,False,60/30 days,2025-06-28
9120313802,Not Covered,1,True,90/30 days,2025-05-16
4862798399,Not Covered,3,False,60/30 days,2024-12-21
1145863277,Non-Preferred,2,True,,2025-04-03
3929268933,Non-Preferred,3,True,30/30 days,2025-06-12
9672896359,Non-Preferred,2,True,60/30 days,2025-04-14
9239943360,Prior Auth,2,True,,2025-06-22
5358378854,Prior Auth,2,False,,2024-10-03
2467931084,Preferred,3,True,1/day,2025-02-06
5204596802,Preferred,4,False,,2025-02-27
3856932493,Preferred,2,False,90/30 days,2024-10-25
7385949944,Prior Auth,3,True,1/day,2024-10-25
4620943961,Not Covered,3,False,1/day,2024-09-25
9536477824,Preferred,4,False,,2025-06-01
7946104753,Not Covered,4,False,1/day,2025-06-26
7005725283,Non-Preferred,1,True,90/30 days,2025-04-24
6439822585,Preferred,2,False,30/30 days,2025-06-04
4546823256,Preferred,2,True,60/30 days,2025-07-24
5910392156,Prior Auth,4,False,60/30 days,2025-01-01
6501443273,Non-Preferred,3,True,60/30 days,2025-02-15
1308763318,Non-Preferred,4,True,1/day,2024-12-27
1237751453,Not Covered,1,False,,2025-07-27
4364752237,Non-Preferred,2,True,1/day,2024-11-18
3497246147,Preferred,2,True,60/30 days,2025-06-29
5048864921,Non-Preferred,2,True,60/30 days,2025-04-08
5636789553,Prior Auth,3,False,30/30 days,2024-10-15
2213430844,Not Covered,2,False,1/day,2025-03-25
1410761787,Non-Preferred,3,False,1/day,2025-05-15
4482445697,Non-Preferred,4,False,,2025-04-20
5672292500,Preferred,1,False,60/30 days,2025-08-31
6966892889,Prior Auth,1,False,1/day,2025-06-12
8078115830,Not Covered,4,False,1/day,2025-02-09
7353672378,Prior Auth,1,True,1/day,2025-05-31
9908342259,Non-Preferred,3,False,,2025-06-02
9489367959,Not Covered,3,False,60/30 days,2025-07-02
3749323544,Preferred,1,True,90/30 days,2025-04-14
4027441892,Prior Auth,2,False,60/30 days,2025-08-04
5732486487,Non-Preferred,1,True,90/30 days,2025-01-30
9756273103,Preferred,2,False,30/30 days,2025-08-04
4776649871,Not Covered,1,True,30/30 days,2025-03-24
8147356720,Non-Preferred,1,False,30/30 days,2024-11-05
7572923713,Preferred,2,False,30/30 days,2025-08-13
6673658229,Preferred,1,True,30/30 days,2025-06-05
7903749812,Not Covered,3,True,1/day,2024-10-02
4039446304,Preferred,1,True,,2024-11-04
6881173202,Preferred,2,False,30/30 days,2025-03-30
1338548294,Preferred,2,True,,2025-01-04
4216529598,Not Covered,1,True,30/30 days,2025-04-27
3003773927,Preferred,2,True,60/30 days,2025-01-30
1940195345,Preferred,1,False,90/30 days,2025-08-31
9450735713,Non-Preferred,3,False,90/30 days,2025-08-26
2086439025,Preferred,1,False,60/30 days,2025-04-05
7843147748,Preferred,4,True,60/30 days,2025-07-25
5374975082,Not Covered,2,True,60/30 days,2025-08-26
6786567019,Non-Preferred,3,False,1/day,2025-09-02
9984983436,Preferred,2,True,90/30 days,2025-03-14
6938251151,Not Covered,3,True,60/30 days,2024-12-20
1222249311,Preferred,4,True,1/day,2025-03-02
5018999579,Non-Preferred,2,False,,2025-09-07
5659975661,Non-Preferred,4,True,60/30 days,2025-05-05
3130511970,Prior Auth,2,False,1/day,2025-03-24
9216560900,Preferred,3,False,,2024-11-10
1152916965,Prior Auth,3,True,1/day,2025-06-03
4467742680,Not Covered,4,False,,2025-04-13
2518826413,Non-Preferred,1,False,90/30 days,2025-07-07
2813738850,Preferred,3,True,60/30 days,2024-10-24
6221272303,Preferred,3,True,90/30 days,2024-11-16
7641121394,Non-Preferred,2,False,30/30 days,2025-06-19
5711166297,Prior Auth,2,False,,2024-12-18
8906116999,Non-Preferred,3,False,30/30 days,2025-07-15
8931183993,Preferred,3,True,60/30 days,2025-02-14
6380295502,Preferred,2,True,1/day,2024-10-27
5813740541,Preferred,3,True,,2025-06-28
3135169128,Prior Auth,4,False,1/day,2025-02-17
8499783251,Preferred,3,True,90/30 days,2025-07-04
8014170570,Preferred,4,True,90/30 days,2025-02-23
5694425093,Not Covered,3,False,,2025-04-17
5984529026,Prior Auth,2,True,90/30 days,2025-01-16
3446407367,Preferred,4,False,30/30 days,2024-12-24
6336882164,Non-Preferred,3,True,60/30 days,2025-08-28
5986956390,Preferred,3,False,1/day,2024-11-29
8773543498,Preferred,4,False,1/day,2025-05-27
1850961478,Non-Preferred,3,True,1/day,2025-03-26
4658629875,Non-Preferred,4,False,1/day,2024-11-11
6615536254,Preferred,3,True,,2025-03-08
5097455692,Preferred,3,True,,2025-08-30
1499507211,Non-Preferred,2,True,30/30 days,2025-05-23
1812564246,Preferred,4,False,,2025-06-04
4309548705,Prior Auth,2,True,30/30 days,2025-04-11
7847446678,Prior Auth,2,True,,2025-08-15
9449303934,Preferred,1,True,60/30 days,2025-04-10
5013205704,Preferred,3,False,1/day,2025-07-13
9949985852,Preferred,1,False,1/day,2025-06-15
8061902103,Preferred,2,True,60/30 days,2025-06-07
9804358426,Non-Preferred,3,False,,2024-10-28
2195546135,Preferred,2,True,,2025-05-31
5027661367,Preferred,1,False,1/day,2025-07-05
5683445698,Prior Auth,2,False,1/day,2024-09-27
1365370953,Prior Auth,2,True,60/30 days,2025-02-23
6276877833,Prior Auth,3,False,,2025-03-06
9148178659,Prior Auth,3,True,1/day,2024-09-23
5076927901,Non-Preferred,1,True,60/30 days,2025-06-21
1720583869,Preferred,1,False,,2024-12-07
3942204542,Non-Preferred,2,False,,2025-08-29
5365655090,Preferred,1,True,1/day,2025-08-08
4775499581,Prior Auth,4,False,,2025-04-08
5312332251,Non-Preferred,3,True,1/day,2025-04-04
8991598785,Not Covered,2,False,30/30 days,2024-11-09
5330534971,Preferred,1,False,30/30 days,2025-07-24
9419404653,Preferred,1,False,1/day,2025-07-28
1744843601,Preferred,1,False,60/30 days,2025-08-10
4732196511,Preferred,3,True,90/30 days,2025-03-09
1185323994,Non-Preferred,3,False,90/30 days,2024-12-03
3938960136,Preferred,2,True,,2025-09-03
8634383361,Preferred,1,False,,2024-12-12
5397335235,Preferred,3,True,60/30 days,2025-07-22
1540397752,Not Covered,1,True,30/30 days,2025-03-26
9619959899,Preferred,3,True,1/day,2024-11-20
7754482715,Prior Auth,2,True,30/30 days,2025-04-25
