ndc,manufacturer,manufacturing_site,lot_info,expiry_tracking
7701867860,AbbVie,AbbVie Plant A,LOT950243,21 months
6718866656,AbbVie,AbbVie Plant B,LOT293816,35 months
9008157517,AbbVie,AbbVie Facility 1,LOT296949,15 months
7895456973,AbbVie,AbbVie Facility 2,LOT685153,20 months
3552764916,AbbVie,AbbVie Facility 2,LOT257305,22 months
2695554717,AbbVie,AbbVie Facility 1,LOT879613,30 months
4411766932,AbbVie,AbbVie Facility 2,LOT399809,24 months
3047791316,AbbVie,AbbVie Plant B,LOT115529,13 months
4676525333,AbbVie,AbbVie Plant A,LOT206276,31 months
5526927192,AbbVie,AbbVie Plant A,LOT135768,26 months
6113193064,AbbVie,AbbVie Facility 1,LOT676008,24 months
6552456838,AbbVie,AbbVie Facility 1,LOT251328,34 months
6166683638,AbbVie,AbbVie Facility 1,LOT181278,16 months
2172894652,AbbVie,AbbVie Plant B,LOT813033,31 months
2549197186,AbbVie,AbbVie Plant B,LOT217114,13 months
8574819728,AbbVie,AbbVie Plant B,LOT558599,19 months
7472089762,AbbVie,AbbVie Plant B,LOT550921,15 months
8235682912,AbbVie,AbbVie Plant B,LOT104499,14 months
6817852337,AbbVie,AbbVie Facility 2,LOT420861,27 months
3349881017,AbbVie,AbbVie Facility 2,LOT353224,19 months
3203067894,AbbVie,AbbVie Plant A,LOT164548,31 months
8445048362,AbbVie,AbbVie Facility 2,LOT137444,14 months
8485190458,AbbVie,AbbVie Plant B,LOT178926,18 months
2365633015,AbbVie,AbbVie Plant B,LOT745467,17 months
7625363077,AbbVie,AbbVie Facility 2,LOT545424,13 months
5871728989,AbbVie,AbbVie Plant A,LOT649974,14 months
4790590393,AbbVie,AbbVie Plant A,LOT524132,22 months
3099482293,AbbVie,AbbVie Plant B,LOT243035,35 months
4114013731,AbbVie,AbbVie Plant B,LOT157154,26 months
4648891157,AbbVie,AbbVie Plant A,LOT481363,13 months
7153033061,AbbVie,AbbVie Plant A,LOT611149,13 months
7709396637,AbbVie,AbbVie Plant A,LOT931655,17 months
1006331994,AbbVie,AbbVie Plant B,LOT342991,21 months
8036060456,AbbVie,AbbVie Facility 1,LOT636805,19 months
1903361795,AbbVie,AbbVie Plant B,LOT123975,24 months
1275831756,AbbVie,AbbVie Plant B,LOT492295,13 months
4570668135,AbbVie,AbbVie Plant B,LOT324593,23 months
6775485359,AbbVie,AbbVie Facility 1,LOT279114,16 months
7080941167,AbbVie,AbbVie Facility 1,LOT521254,12 months
1867363296,AbbVie,AbbVie Plant B,LOT440258,29 months
9129428122,AbbVie,AbbVie Facility 1,LOT521931,17 months
5582838581,AbbVie,AbbVie Plant B,LOT919960,22 months
8642187283,AbbVie,AbbVie Plant A,LOT601594,27 months
6585759216,AbbVie,AbbVie Facility 2,LOT653377,34 months
8344370018,AbbVie,AbbVie Plant B,LOT194095,15 months
3290548266,AbbVie,AbbVie Plant B,LOT571150,33 months
8282010716,AbbVie,AbbVie Facility 2,LOT777628,23 months
5022413383,AbbVie,AbbVie Plant B,LOT496951,23 months
9675917920,AbbVie,AbbVie Plant B,LOT333436,26 months
6962879954,AbbVie,AbbVie Plant A,LOT245589,24 months
7939637058,AbbVie,AbbVie Plant B,LOT299241,36 months
7544770255,AbbVie,AbbVie Plant A,LOT839088,23 months
1774941969,AbbVie,AbbVie Plant A,LOT382429,35 months
5010477396,AbbVie,AbbVie Facility 2,LOT303020,24 months
3539011682,AbbVie,AbbVie Facility 2,LOT460497,33 months
1945238133,AbbVie,AbbVie Facility 1,LOT429088,13 months
2204049586,AbbVie,AbbVie Facility 2,LOT536643,36 months
2189451943,AbbVie,AbbVie Facility 2,LOT404421,33 months
3930449039,AbbVie,AbbVie Plant B,LOT985515,18 months
9037188058,AbbVie,AbbVie Facility 2,LOT989662,13 months
