ndc,manufacturer,manufacturing_site,lot_info,expiry_tracking
8242327851,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT269849,35 months
2312963817,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT248254,31 months
5473350216,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT452436,12 months
3963183138,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT278624,33 months
8340543462,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT992497,12 months
3444155722,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT733862,25 months
3199766910,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT394210,28 months
9749455198,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT889678,34 months
4392771862,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT480316,17 months
1987834693,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT533519,29 months
8554184872,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT712360,18 months
4212389434,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT465408,22 months
7729492387,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT842759,20 months
3694752398,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT596880,36 months
5537294199,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT695872,13 months
4288748633,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT557469,19 months
2676898220,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT859085,15 months
2634299916,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT321791,25 months
2620035424,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT213626,23 months
2623154293,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT394035,35 months
7336223035,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT921592,15 months
5609717346,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT450485,12 months
3609970467,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT251296,21 months
1323193813,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT327868,35 months
5544697177,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT170354,31 months
8891386618,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT575807,22 months
5199369114,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT632638,26 months
3729765443,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT849365,29 months
9004115541,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT751090,15 months
1994092537,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT125154,25 months
5359283483,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT141144,13 months
5891368998,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT496975,28 months
9893575518,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT738952,28 months
3568528788,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT295294,13 months
6613337245,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT671231,29 months
7216455426,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT269167,21 months
4581376212,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT533997,25 months
4468586656,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT579833,30 months
2504337751,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT883996,22 months
9762764246,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT898581,31 months
2132746725,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT315398,15 months
3995465541,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT341907,19 months
8948866297,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT809476,22 months
9085426925,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT273610,32 months
4318538483,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT420831,24 months
7130363386,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT365712,26 months
6704483254,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT412616,19 months
4558093061,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT579479,28 months
7851515340,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT494224,29 months
5169411990,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT454003,32 months
3855952730,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT430382,22 months
9268475948,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT493969,34 months
3110315460,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT473680,13 months
6323378128,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT126193,20 months
7924553264,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT659851,25 months
1591155015,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT543361,26 months
1305813472,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 2,LOT658386,21 months
4727465323,Bristol-Myers Squibb,Bristol-Myers Squibb Plant B,LOT323617,24 months
7998922213,Bristol-Myers Squibb,Bristol-Myers Squibb Plant A,LOT251912,19 months
3211350526,Bristol-Myers Squibb,Bristol-Myers Squibb Facility 1,LOT817939,33 months
