ndc,manufacturer,manufacturing_site,lot_info,expiry_tracking
4935579524,Johnson & Johnson,Johnson & Johnson Facility 2,LOT174066,17 months
1580469223,Johnson & Johnson,Johnson & Johnson Plant A,LOT266593,12 months
1536085627,Johnson & Johnson,Johnson & Johnson Plant A,LOT369386,23 months
1356571768,Johnson & Johnson,Johnson & Johnson Facility 2,LOT173854,21 months
6333473624,Johnson & Johnson,Johnson & Johnson Plant B,LOT789698,24 months
8442426056,Johnson & Johnson,Johnson & Johnson Plant A,LOT717655,14 months
1730686862,Johnson & Johnson,Johnson & Johnson Plant B,LOT416277,25 months
7667580713,Johnson & Johnson,Johnson & Johnson Facility 2,LOT707136,24 months
1160922653,Johnson & Johnson,Johnson & Johnson Facility 1,LOT196713,16 months
9620719087,Johnson & Johnson,Johnson & Johnson Facility 1,LOT409343,16 months
4670853423,Johnson & Johnson,Johnson & Johnson Facility 1,LOT815059,14 months
2451563511,Johnson & Johnson,Johnson & Johnson Facility 2,LOT843986,13 months
7487090848,Johnson & Johnson,Johnson & Johnson Facility 2,LOT398874,31 months
6322972215,Johnson & Johnson,Johnson & Johnson Plant A,LOT622117,31 months
8150494675,Johnson & Johnson,Johnson & Johnson Facility 1,LOT923597,28 months
9863913149,Johnson & Johnson,Johnson & Johnson Plant A,LOT643234,12 months
8417655053,Johnson & Johnson,Johnson & Johnson Plant B,LOT789524,36 months
8167887364,Johnson & Johnson,Johnson & Johnson Plant B,LOT308201,35 months
8749449314,Johnson & Johnson,Johnson & Johnson Plant B,LOT232098,13 months
1331922194,Johnson & Johnson,Johnson & Johnson Plant B,LOT517320,14 months
4198737868,Johnson & Johnson,Johnson & Johnson Facility 1,LOT577416,31 months
7633538812,Johnson & Johnson,Johnson & Johnson Facility 1,LOT680726,34 months
8807032171,Johnson & Johnson,Johnson & Johnson Facility 2,LOT204943,31 months
9953024340,Johnson & Johnson,Johnson & Johnson Facility 1,LOT521352,13 months
8206890022,Johnson & Johnson,Johnson & Johnson Facility 2,LOT346073,16 months
9366677755,Johnson & Johnson,Johnson & Johnson Plant B,LOT742549,29 months
1829018928,Johnson & Johnson,Johnson & Johnson Facility 2,LOT732643,24 months
8221365076,Johnson & Johnson,Johnson & Johnson Plant A,LOT437551,16 months
7480912217,Johnson & Johnson,Johnson & Johnson Plant B,LOT203857,34 months
5723745653,Johnson & Johnson,Johnson & Johnson Plant B,LOT854461,12 months
9900333591,Johnson & Johnson,Johnson & Johnson Facility 1,LOT655322,28 months
2027037385,Johnson & Johnson,Johnson & Johnson Facility 2,LOT612388,14 months
2149292184,Johnson & Johnson,Johnson & Johnson Facility 1,LOT580172,25 months
5109844412,Johnson & Johnson,Johnson & Johnson Plant A,LOT505673,14 months
6289132746,Johnson & Johnson,Johnson & Johnson Facility 1,LOT180455,22 months
6628487631,Johnson & Johnson,Johnson & Johnson Facility 2,LOT614237,27 months
8183078522,Johnson & Johnson,Johnson & Johnson Plant A,LOT137837,25 months
3011728182,Johnson & Johnson,Johnson & Johnson Plant A,LOT172517,12 months
9056576860,Johnson & Johnson,Johnson & Johnson Facility 1,LOT563117,33 months
6670445210,Johnson & Johnson,Johnson & Johnson Plant A,LOT587620,32 months
4299035964,Johnson & Johnson,Johnson & Johnson Facility 2,LOT818931,12 months
9944687384,Johnson & Johnson,Johnson & Johnson Plant B,LOT422878,12 months
1406883332,Johnson & Johnson,Johnson & Johnson Facility 2,LOT615481,26 months
4590094553,Johnson & Johnson,Johnson & Johnson Facility 1,LOT975108,16 months
1417485912,Johnson & Johnson,Johnson & Johnson Facility 1,LOT662680,36 months
1942748970,Johnson & Johnson,Johnson & Johnson Facility 1,LOT787369,20 months
3485348719,Johnson & Johnson,Johnson & Johnson Plant B,LOT239469,32 months
1216380346,Johnson & Johnson,Johnson & Johnson Facility 2,LOT586169,30 months
7088612231,Johnson & Johnson,Johnson & Johnson Plant A,LOT618964,19 months
3452574186,Johnson & Johnson,Johnson & Johnson Facility 1,LOT849530,12 months
7694521014,Johnson & Johnson,Johnson & Johnson Facility 1,LOT273776,18 months
6506128759,Johnson & Johnson,Johnson & Johnson Plant A,LOT932893,30 months
3831350877,Johnson & Johnson,Johnson & Johnson Facility 1,LOT857349,30 months
5657553718,Johnson & Johnson,Johnson & Johnson Plant A,LOT809254,34 months
5779158445,Johnson & Johnson,Johnson & Johnson Plant B,LOT830228,18 months
8357326115,Johnson & Johnson,Johnson & Johnson Plant A,LOT469569,33 months
7289971334,Johnson & Johnson,Johnson & Johnson Facility 2,LOT845509,12 months
5512994132,Johnson & Johnson,Johnson & Johnson Facility 1,LOT919569,22 months
9380189421,Johnson & Johnson,Johnson & Johnson Plant A,LOT738197,16 months
3723633525,Johnson & Johnson,Johnson & Johnson Facility 2,LOT778961,33 months
