ndc,manufacturer,manufacturing_site,lot_info,expiry_tracking
4622694932,Merck,Merck Facility 2,LOT116332,23 months
6418665670,Merck,Merck Plant B,LOT446075,20 months
1480857425,Merck,Merck Plant A,LOT947579,17 months
9629147565,Merck,Merck Facility 2,LOT629987,27 months
6846654058,Merck,Merck Plant A,LOT506320,30 months
4780969535,Merck,Merck Plant B,LOT118912,15 months
2044418036,Merck,Merck Plant A,LOT545762,32 months
9244590170,Merck,Merck Plant B,LOT223501,35 months
3364315841,Merck,Merck Facility 1,LOT736598,14 months
1091427624,Merck,Merck Facility 1,LOT859196,35 months
7859188992,Merck,Merck Plant B,LOT483494,21 months
8109743249,Merck,Merck Plant A,LOT266767,30 months
6817862481,Merck,Merck Facility 2,LOT436947,13 months
6875945798,Merck,Merck Plant B,LOT688001,31 months
5071175580,Merck,Merck Plant B,LOT552494,18 months
5401620785,Merck,Merck Plant A,LOT963348,21 months
5602533136,Merck,Merck Facility 2,LOT561591,17 months
1913760699,Merck,Merck Facility 2,LOT579233,31 months
9330654076,Merck,Merck Facility 1,LOT115173,30 months
3337083630,Merck,Merck Facility 1,LOT598165,36 months
6675762879,Merck,Merck Plant A,LOT857031,35 months
2827146282,Merck,Merck Facility 1,LOT952962,28 months
6771553974,Merck,Merck Plant A,LOT817838,25 months
3162775286,Merck,Merck Plant A,LOT991078,21 months
8201968144,Merck,Merck Plant A,LOT930317,30 months
9622771074,Merck,Merck Facility 2,LOT331870,18 months
9268710844,Merck,Merck Facility 2,LOT753825,32 months
3449742161,Merck,Merck Plant A,LOT247156,15 months
1956964855,Merck,Merck Facility 2,LOT179765,35 months
6052839222,Merck,Merck Plant A,LOT526578,36 months
4231756433,Merck,Merck Facility 1,LOT177340,23 months
9219597331,Merck,Merck Plant A,LOT728730,35 months
9877780829,Merck,Merck Facility 2,LOT355582,23 months
4423930970,Merck,Merck Facility 2,LOT764058,19 months
5967227886,Merck,Merck Plant A,LOT719333,16 months
7894769775,Merck,Merck Plant A,LOT333714,32 months
7190562912,Merck,Merck Plant A,LOT537577,21 months
7932315976,Merck,Merck Plant A,LOT591192,27 months
3713219349,Merck,Merck Plant B,LOT123589,35 months
9687945620,Merck,Merck Facility 2,LOT874849,26 months
6575097634,Merck,Merck Facility 2,LOT396870,36 months
2579866214,Merck,Merck Plant A,LOT909359,19 months
9676969730,Merck,Merck Facility 2,LOT541321,13 months
2261887960,Merck,Merck Facility 2,LOT471994,30 months
3994429398,Merck,Merck Facility 2,LOT737823,31 months
2617861334,Merck,Merck Plant B,LOT716400,25 months
6419736476,Merck,Merck Facility 2,LOT768939,34 months
6974070793,Merck,Merck Plant A,LOT636576,35 months
6547236938,Merck,Merck Facility 1,LOT249802,12 months
4328188295,Merck,Merck Plant B,LOT902595,30 months
3200843715,Merck,Merck Facility 2,LOT415043,21 months
4184481268,Merck,Merck Plant B,LOT230084,23 months
9483191163,Merck,Merck Plant A,LOT144847,13 months
7468124278,Merck,Merck Plant B,LOT659087,25 months
8902956376,Merck,Merck Plant B,LOT634465,35 months
3201495969,Merck,Merck Facility 2,LOT769403,27 months
7299824842,Merck,Merck Plant B,LOT440342,31 months
3562379097,Merck,Merck Facility 2,LOT352321,16 months
5721489367,Merck,Merck Facility 2,LOT663868,34 months
2271281757,Merck,Merck Facility 1,LOT841203,34 months
