ndc,manufacturer,manufacturing_site,lot_info,expiry_tracking
6614479190,Pfizer,Pfizer Plant A,LOT746778,31 months
5287159729,Pfizer,Pfizer Facility 1,LOT927053,17 months
7739788717,Pfizer,Pfizer Facility 2,LOT759415,27 months
2201990010,Pfizer,Pfizer Plant A,LOT380066,33 months
1281651481,Pfizer,Pfizer Facility 2,LOT312990,12 months
4231831081,Pfizer,Pfizer Plant A,LOT362575,17 months
1155610499,Pfizer,Pfizer Facility 1,LOT621558,14 months
8212432524,Pfizer,Pfizer Facility 2,LOT595836,17 months
2230169427,Pfizer,Pfizer Plant B,LOT111080,33 months
8957622560,Pfizer,Pfizer Plant B,LOT518608,12 months
3329090447,Pfizer,Pfizer Facility 2,LOT750342,20 months
3657961759,Pfizer,Pfizer Facility 1,LOT674356,23 months
7039172744,Pfizer,Pfizer Plant B,LOT648755,36 months
4695114944,Pfizer,Pfizer Facility 2,LOT259345,22 months
6926362486,Pfizer,Pfizer Facility 2,LOT616817,25 months
3899934187,Pfizer,Pfizer Facility 2,LOT473256,23 months
5741985677,Pfizer,Pfizer Plant B,LOT432205,31 months
5076146555,Pfizer,Pfizer Facility 2,LOT273176,16 months
4786638661,Pfizer,Pfizer Plant A,LOT728259,14 months
1831148647,Pfizer,Pfizer Plant A,LOT283384,15 months
5500961814,Pfizer,Pfizer Plant A,LOT502723,29 months
9289435266,Pfizer,Pfizer Plant B,LOT476646,35 months
5864677265,Pfizer,Pfizer Facility 2,LOT237457,13 months
4515951066,Pfizer,Pfizer Plant B,LOT910909,26 months
9889125656,Pfizer,Pfizer Facility 1,LOT613486,22 months
2111198994,Pfizer,Pfizer Plant A,LOT686847,21 months
7653097724,Pfizer,Pfizer Facility 1,LOT552732,27 months
7714217732,Pfizer,Pfizer Facility 1,LOT131597,30 months
6354022721,Pfizer,Pfizer Facility 1,LOT195497,14 months
6865360964,Pfizer,Pfizer Plant A,LOT339349,36 months
2635289210,Pfizer,Pfizer Plant B,LOT915526,21 months
2581860936,Pfizer,Pfizer Facility 1,LOT706322,26 months
5619993286,Pfizer,Pfizer Facility 1,LOT812319,25 months
5996373080,Pfizer,Pfizer Plant A,LOT132266,33 months
1775830666,Pfizer,Pfizer Plant B,LOT407442,21 months
2042982526,Pfizer,Pfizer Facility 1,LOT635119,25 months
1712376240,Pfizer,Pfizer Facility 2,LOT375281,23 months
2619136234,Pfizer,Pfizer Facility 1,LOT356878,34 months
3208046974,Pfizer,Pfizer Plant B,LOT736952,28 months
6784244035,Pfizer,Pfizer Plant B,LOT644775,14 months
7820020443,Pfizer,Pfizer Plant A,LOT719014,18 months
6966326177,Pfizer,Pfizer Facility 1,LOT728158,36 months
1507081315,Pfizer,Pfizer Facility 2,LOT631008,12 months
3029444858,Pfizer,Pfizer Facility 1,LOT102443,16 months
5886011348,Pfizer,Pfizer Plant B,LOT710401,35 months
4370868574,Pfizer,Pfizer Facility 2,LOT632551,17 months
7133733678,Pfizer,Pfizer Plant A,LOT157071,25 months
5525261194,Pfizer,Pfizer Plant A,LOT531564,33 months
8930212810,Pfizer,Pfizer Plant B,LOT259445,31 months
8153446654,Pfizer,Pfizer Plant B,LOT597619,27 months
3298953241,Pfizer,Pfizer Facility 2,LOT836816,14 months
1550370853,Pfizer,Pfizer Plant A,LOT875135,26 months
1391830133,Pfizer,Pfizer Facility 1,LOT313381,20 months
5909672174,Pfizer,Pfizer Facility 1,LOT538043,18 months
6622770446,Pfizer,Pfizer Plant A,LOT569416,14 months
1904667437,Pfizer,Pfizer Facility 2,LOT696023,29 months
3561651767,Pfizer,Pfizer Plant B,LOT182493,22 months
9122378144,Pfizer,Pfizer Plant B,LOT290058,12 months
3409468723,Pfizer,Pfizer Plant A,LOT830744,24 months
5149573527,Pfizer,Pfizer Plant B,LOT232115,17 months
