ndc,regional_code,preference_score,local_mfr,distribution_notes
4912022318,US-NATIONAL,10,AbbVie,National distribution
9895612135,US-NATIONAL,10,Sanofi,National distribution
2500059255,US-NATIONAL,5,Crestor Inc,National distribution
6287020169,US-NATIONAL,4,Amgen,National distribution
1188012961,US-NATIONAL,6,AstraZeneca,National distribution
4004040828,US-NATIONAL,7,Genentech,National distribution
3753941279,US-NATIONAL,10,Teva,National distribution
3834259267,US-NATIONAL,6,Genentech,National distribution
2422890460,US-NATIONAL,1,Sanofi,National distribution
9036254168,US-NATIONAL,6,AbbVie,National distribution
1024121633,US-NATIONAL,2,Teva,National distribution
3319712992,US-NATIONAL,6,Biogen,National distribution
5961632295,US-NATIONAL,10,GlaxoSmithKline,National distribution
7889353994,US-NATIONAL,5,Amgen,National distribution
2788478425,US-NATIONAL,5,Amgen,National distribution
5312057595,US-NATIONAL,3,Sanofi,National distribution
2431958252,US-NATIONAL,8,AbbVie,National distribution
4501667420,US-NATIONAL,6,Genentech,National distribution
7450870025,US-NATIONAL,6,Amgen,National distribution
1799829495,US-NATIONAL,4,GlaxoSmithKline,National distribution
5116136373,US-NATIONAL,3,Teva,National distribution
7291974564,US-NATIONAL,5,Sanofi,National distribution
2465957489,US-NATIONAL,3,Teva,National distribution
1154768666,US-NATIONAL,1,AstraZeneca,National distribution
6121558740,US-NATIONAL,10,Teva,National distribution
6580835048,US-NATIONAL,1,Amgen,National distribution
5701744724,US-NATIONAL,2,Biogen,National distribution
6518867832,US-NATIONAL,10,AstraZeneca,National distribution
7221554769,US-NATIONAL,9,Biogen,National distribution
7631592944,US-NATIONAL,5,Teva,National distribution
8225961844,US-NATIONAL,1,Crestor Inc,National distribution
8173059073,US-NATIONAL,8,Genentech,National distribution
1625616739,US-NATIONAL,5,Crestor Inc,National distribution
4536190280,US-NATIONAL,1,Biogen,National distribution
9001354516,US-NATIONAL,1,GlaxoSmithKline,National distribution
3073643092,US-NATIONAL,9,Pfizer,National distribution
3342064379,US-NATIONAL,1,Sanofi,National distribution
8339783258,US-NATIONAL,5,Biogen,National distribution
4592792681,US-NATIONAL,9,AbbVie,National distribution
4992898537,US-NATIONAL,6,Biogen,National distribution
5371259866,US-NATIONAL,10,Sanofi,National distribution
4807567467,US-NATIONAL,3,Pfizer,National distribution
9536814595,US-NATIONAL,4,Crestor Inc,National distribution
6567355291,US-NATIONAL,5,Sanofi,National distribution
8493516993,US-NATIONAL,4,AbbVie,National distribution
3568332119,US-NATIONAL,4,AstraZeneca,National distribution
2097259586,US-NATIONAL,5,GlaxoSmithKline,National distribution
8475326789,US-NATIONAL,9,Crestor Inc,National distribution
3648961013,US-NATIONAL,4,Sanofi,National distribution
5905618725,US-NATIONAL,5,AbbVie,National distribution
9823564889,US-NATIONAL,7,Amgen,National distribution
2096228058,US-NATIONAL,9,Pfizer,National distribution
9932293212,US-NATIONAL,1,AstraZeneca,National distribution
9473742444,US-NATIONAL,4,Biogen,National distribution
8729367556,US-NATIONAL,1,Genentech,National distribution
9259614124,US-NATIONAL,5,Biogen,National distribution
7601534611,US-NATIONAL,7,AstraZeneca,National distribution
8540578127,US-NATIONAL,6,Crestor Inc,National distribution
9564825216,US-NATIONAL,7,Teva,National distribution
6140057019,US-NATIONAL,2,Sanofi,National distribution
5579545323,US-NATIONAL,2,Amgen,National distribution
3863489659,US-NATIONAL,9,Teva,National distribution
8989276596,US-NATIONAL,8,Crestor Inc,National distribution
2366731846,US-NATIONAL,9,Pfizer,National distribution
7537727830,US-NATIONAL,6,GlaxoSmithKline,National distribution
3426454454,US-NATIONAL,10,Biogen,National distribution
7954538570,US-NATIONAL,4,Crestor Inc,National distribution
7208843693,US-NATIONAL,5,GlaxoSmithKline,National distribution
1095299643,US-NATIONAL,3,GlaxoSmithKline,National distribution
7440344031,US-NATIONAL,8,Biogen,National distribution
2146354329,US-NATIONAL,9,AbbVie,National distribution
2897911840,US-NATIONAL,3,GlaxoSmithKline,National distribution
4020790359,US-NATIONAL,10,Amgen,National distribution
5477910774,US-NATIONAL,4,AbbVie,National distribution
1088760197,US-NATIONAL,8,Amgen,National distribution
9376350470,US-NATIONAL,6,Sanofi,National distribution
1902958296,US-NATIONAL,2,AbbVie,National distribution
8195125352,US-NATIONAL,1,Crestor Inc,National distribution
2017169890,US-NATIONAL,7,Genentech,National distribution
3813489155,US-NATIONAL,4,AstraZeneca,National distribution
4599571032,US-NATIONAL,8,Amgen,National distribution
8161865862,US-NATIONAL,5,Amgen,National distribution
2082357342,US-NATIONAL,2,AbbVie,National distribution
3230032375,US-NATIONAL,3,Biogen,National distribution
7342490777,US-NATIONAL,2,Teva,National distribution
3720144531,US-NATIONAL,7,Amgen,National distribution
8649028363,US-NATIONAL,4,Teva,National distribution
4817689072,US-NATIONAL,2,Genentech,National distribution
8155335199,US-NATIONAL,6,Sanofi,National distribution
3321476833,US-NATIONAL,5,Amgen,National distribution
1794670863,US-NATIONAL,6,GlaxoSmithKline,National distribution
2848994598,US-NATIONAL,6,Genentech,National distribution
7628617433,US-NATIONAL,1,Genentech,National distribution
3431476751,US-NATIONAL,3,Amgen,National distribution
3600275563,US-NATIONAL,8,Teva,National distribution
8759545071,US-NATIONAL,1,AbbVie,National distribution
3101385792,US-NATIONAL,10,AstraZeneca,National distribution
7435183589,US-NATIONAL,4,Genentech,National distribution
4359552080,US-NATIONAL,7,Sanofi,National distribution
7079553965,US-NATIONAL,7,Amgen,National distribution
