ndc,regional_code,preference_score,local_mfr,distribution_notes
7340738156,US-MIDWEST,9,MO Pharmaceuticals,Distributed in MO region
4460623342,US-MO,7,MO Pharmaceuticals,Distributed in MO region
9766250564,US-MIDWEST,5,MO Pharmaceuticals,Distributed in MO region
5458151180,US-MIDWEST,7,MO Pharmaceuticals,Distributed in MO region
2652655253,US-MO,8,MO Pharmaceuticals,Distributed in MO region
8110776525,US-MO,7,MO Pharmaceuticals,Distributed in MO region
5494928539,US-MO,1,MO Pharmaceuticals,Distributed in MO region
1322765266,US-MO,2,MO Pharmaceuticals,Distributed in MO region
4537779843,US-MIDWEST,6,MO Pharmaceuticals,Distributed in MO region
1457569534,US-MO,2,MO Pharmaceuticals,Distributed in MO region
5258032272,US-MO,2,MO Pharmaceuticals,Distributed in MO region
6465819348,US-MIDWEST,3,MO Pharmaceuticals,Distributed in MO region
2371326670,US-MO,6,MO Pharmaceuticals,Distributed in MO region
8640260276,US-MIDWEST,7,MO Pharmaceuticals,Distributed in MO region
3011024265,US-MIDWEST,5,MO Pharmaceuticals,Distributed in MO region
8980393953,US-MO,9,MO Pharmaceuticals,Distributed in MO region
3562612076,US-MIDWEST,10,MO Pharmaceuticals,Distributed in MO region
7310423679,US-MIDWEST,2,MO Pharmaceuticals,Distributed in MO region
8042774828,US-MIDWEST,2,MO Pharmaceuticals,Distributed in MO region
6012950187,US-MIDWEST,9,MO Pharmaceuticals,Distributed in MO region
9082936366,US-MIDWEST,7,MO Pharmaceuticals,Distributed in MO region
2765341235,US-MO,9,MO Pharmaceuticals,Distributed in MO region
7961038015,US-MIDWEST,6,MO Pharmaceuticals,Distributed in MO region
4276142092,US-MIDWEST,6,MO Pharmaceuticals,Distributed in MO region
3786626214,US-MIDWEST,8,MO Pharmaceuticals,Distributed in MO region
4378237481,US-MIDWEST,3,MO Pharmaceuticals,Distributed in MO region
6088218263,US-MIDWEST,2,MO Pharmaceuticals,Distributed in MO region
7177997459,US-MO,9,MO Pharmaceuticals,Distributed in MO region
2297518283,US-MO,3,MO Pharmaceuticals,Distributed in MO region
8527559567,US-MIDWEST,2,MO Pharmaceuticals,Distributed in MO region
6273888611,US-MIDWEST,8,MO Pharmaceuticals,Distributed in MO region
8155640540,US-MO,6,MO Pharmaceuticals,Distributed in MO region
4836526238,US-MO,6,MO Pharmaceuticals,Distributed in MO region
2715965381,US-MO,3,MO Pharmaceuticals,Distributed in MO region
4312471942,US-MIDWEST,2,MO Pharmaceuticals,Distributed in MO region
8749563180,US-MO,10,MO Pharmaceuticals,Distributed in MO region
7084312195,US-MIDWEST,2,MO Pharmaceuticals,Distributed in MO region
6835175523,US-MO,6,MO Pharmaceuticals,Distributed in MO region
1141593379,US-MO,2,MO Pharmaceuticals,Distributed in MO region
7090685182,US-MO,10,MO Pharmaceuticals,Distributed in MO region
8512412586,US-MO,8,MO Pharmaceuticals,Distributed in MO region
3138423544,US-MIDWEST,10,MO Pharmaceuticals,Distributed in MO region
6688611346,US-MIDWEST,8,MO Pharmaceuticals,Distributed in MO region
