ndc,therapeutic_class,subclass,mechanism,contraindications
8985810471,Cardiovascular,Cardiovascular Subclass 1,Beta Blocker,Standard cardiovascular contraindications apply
3901940347,Cardiovascular,Cardiovascular Subclass 2,Calcium Channel Blocker,Standard cardiovascular contraindications apply
9324613534,Cardiovascular,Cardiovascular Subclass 4,ACE Inhibitor,Standard cardiovascular contraindications apply
4914313626,Cardiovascular,Cardiovascular Subclass 4,Diuretic,Standard cardiovascular contraindications apply
1422696556,Cardiovascular,Cardiovascular Subclass 1,Calcium Channel Blocker,Standard cardiovascular contraindications apply
7841530623,Cardiovascular,Cardiovascular Subclass 2,Calcium Channel Blocker,Standard cardiovascular contraindications apply
9396689732,Cardiovascular,Cardiovascular Subclass 5,ARB,Standard cardiovascular contraindications apply
4204410586,Cardiovascular,Cardiovascular Subclass 5,Diuretic,Standard cardiovascular contraindications apply
9711243083,Cardiovascular,Cardiovascular Subclass 3,Calcium Channel Blocker,Standard cardiovascular contraindications apply
7979544343,Cardiovascular,Cardiovascular Subclass 5,Beta Blocker,Standard cardiovascular contraindications apply
6348267725,Cardiovascular,Cardiovascular Subclass 4,ACE Inhibitor,Standard cardiovascular contraindications apply
7841211228,Cardiovascular,Cardiovascular Subclass 2,Beta Blocker,Standard cardiovascular contraindications apply
4290915021,Cardiovascular,Cardiovascular Subclass 4,Diuretic,Standard cardiovascular contraindications apply
1137723978,Cardiovascular,Cardiovascular Subclass 3,Beta Blocker,Standard cardiovascular contraindications apply
5891987919,Cardiovascular,Cardiovascular Subclass 4,ARB,Standard cardiovascular contraindications apply
6479962561,Cardiovascular,Cardiovascular Subclass 2,Diuretic,Standard cardiovascular contraindications apply
9033830647,Cardiovascular,Cardiovascular Subclass 3,ARB,Standard cardiovascular contraindications apply
3361628263,Cardiovascular,Cardiovascular Subclass 1,Calcium Channel Blocker,Standard cardiovascular contraindications apply
6411028748,Cardiovascular,Cardiovascular Subclass 3,ARB,Standard cardiovascular contraindications apply
5260952052,Cardiovascular,Cardiovascular Subclass 1,ARB,Standard cardiovascular contraindications apply
7770134486,Cardiovascular,Cardiovascular Subclass 3,ACE Inhibitor,Standard cardiovascular contraindications apply
3288527155,Cardiovascular,Cardiovascular Subclass 5,Diuretic,Standard cardiovascular contraindications apply
9154677291,Cardiovascular,Cardiovascular Subclass 3,ACE Inhibitor,Standard cardiovascular contraindications apply
3299766766,Cardiovascular,Cardiovascular Subclass 2,Calcium Channel Blocker,Standard cardiovascular contraindications apply
3802786978,Cardiovascular,Cardiovascular Subclass 2,ACE Inhibitor,Standard cardiovascular contraindications apply
5158853991,Cardiovascular,Cardiovascular Subclass 2,Diuretic,Standard cardiovascular contraindications apply
6268463433,Cardiovascular,Cardiovascular Subclass 1,Diuretic,Standard cardiovascular contraindications apply
5898916013,Cardiovascular,Cardiovascular Subclass 1,Diuretic,Standard cardiovascular contraindications apply
6054935783,Cardiovascular,Cardiovascular Subclass 4,Beta Blocker,Standard cardiovascular contraindications apply
6270866957,Cardiovascular,Cardiovascular Subclass 1,Beta Blocker,Standard cardiovascular contraindications apply
3609023711,Cardiovascular,Cardiovascular Subclass 2,ACE Inhibitor,Standard cardiovascular contraindications apply
4671914491,Cardiovascular,Cardiovascular Subclass 5,Calcium Channel Blocker,Standard cardiovascular contraindications apply
1400753148,Cardiovascular,Cardiovascular Subclass 3,Calcium Channel Blocker,Standard cardiovascular contraindications apply
5138172924,Cardiovascular,Cardiovascular Subclass 5,Calcium Channel Blocker,Standard cardiovascular contraindications apply
4327653932,Cardiovascular,Cardiovascular Subclass 1,Beta Blocker,Standard cardiovascular contraindications apply
9984032610,Cardiovascular,Cardiovascular Subclass 2,ACE Inhibitor,Standard cardiovascular contraindications apply
9110331143,Cardiovascular,Cardiovascular Subclass 2,Beta Blocker,Standard cardiovascular contraindications apply
5771644540,Cardiovascular,Cardiovascular Subclass 1,Diuretic,Standard cardiovascular contraindications apply
6685117130,Cardiovascular,Cardiovascular Subclass 2,Diuretic,Standard cardiovascular contraindications apply
1030474271,Cardiovascular,Cardiovascular Subclass 1,Calcium Channel Blocker,Standard cardiovascular contraindications apply
4341442057,Cardiovascular,Cardiovascular Subclass 4,ARB,Standard cardiovascular contraindications apply
1742075214,Cardiovascular,Cardiovascular Subclass 3,Calcium Channel Blocker,Standard cardiovascular contraindications apply
4695567862,Cardiovascular,Cardiovascular Subclass 3,Calcium Channel Blocker,Standard cardiovascular contraindications apply
5178696868,Cardiovascular,Cardiovascular Subclass 2,ARB,Standard cardiovascular contraindications apply
9044121442,Cardiovascular,Cardiovascular Subclass 1,Calcium Channel Blocker,Standard cardiovascular contraindications apply
8092517851,Cardiovascular,Cardiovascular Subclass 4,Beta Blocker,Standard cardiovascular contraindications apply
4589330348,Cardiovascular,Cardiovascular Subclass 4,Beta Blocker,Standard cardiovascular contraindications apply
1864940593,Cardiovascular,Cardiovascular Subclass 3,ACE Inhibitor,Standard cardiovascular contraindications apply
3014934177,Cardiovascular,Cardiovascular Subclass 5,Diuretic,Standard cardiovascular contraindications apply
3108674842,Cardiovascular,Cardiovascular Subclass 5,ACE Inhibitor,Standard cardiovascular contraindications apply
3962935332,Cardiovascular,Cardiovascular Subclass 2,ACE Inhibitor,Standard cardiovascular contraindications apply
9937827840,Cardiovascular,Cardiovascular Subclass 3,ARB,Standard cardiovascular contraindications apply
3013314840,Cardiovascular,Cardiovascular Subclass 4,ACE Inhibitor,Standard cardiovascular contraindications apply
8196796938,Cardiovascular,Cardiovascular Subclass 1,Calcium Channel Blocker,Standard cardiovascular contraindications apply
4968599163,Cardiovascular,Cardiovascular Subclass 3,Calcium Channel Blocker,Standard cardiovascular contraindications apply
5496151670,Cardiovascular,Cardiovascular Subclass 4,ACE Inhibitor,Standard cardiovascular contraindications apply
4956317499,Cardiovascular,Cardiovascular Subclass 4,Calcium Channel Blocker,Standard cardiovascular contraindications apply
3694266380,Cardiovascular,Cardiovascular Subclass 2,Beta Blocker,Standard cardiovascular contraindications apply
7782596484,Cardiovascular,Cardiovascular Subclass 3,Beta Blocker,Standard cardiovascular contraindications apply
2745542357,Cardiovascular,Cardiovascular Subclass 1,ARB,Standard cardiovascular contraindications apply
7157258117,Cardiovascular,Cardiovascular Subclass 5,ARB,Standard cardiovascular contraindications apply
7721287645,Cardiovascular,Cardiovascular Subclass 4,ACE Inhibitor,Standard cardiovascular contraindications apply
7882729548,Cardiovascular,Cardiovascular Subclass 4,Calcium Channel Blocker,Standard cardiovascular contraindications apply
7254874234,Cardiovascular,Cardiovascular Subclass 5,ARB,Standard cardiovascular contraindications apply
5815121664,Cardiovascular,Cardiovascular Subclass 3,Diuretic,Standard cardiovascular contraindications apply
2330568890,Cardiovascular,Cardiovascular Subclass 5,ACE Inhibitor,Standard cardiovascular contraindications apply
3278510019,Cardiovascular,Cardiovascular Subclass 2,ARB,Standard cardiovascular contraindications apply
2705099121,Cardiovascular,Cardiovascular Subclass 4,Calcium Channel Blocker,Standard cardiovascular contraindications apply
7827447375,Cardiovascular,Cardiovascular Subclass 2,ARB,Standard cardiovascular contraindications apply
2468151145,Cardiovascular,Cardiovascular Subclass 5,Beta Blocker,Standard cardiovascular contraindications apply
2600248327,Cardiovascular,Cardiovascular Subclass 1,Diuretic,Standard cardiovascular contraindications apply
5299714918,Cardiovascular,Cardiovascular Subclass 3,Calcium Channel Blocker,Standard cardiovascular contraindications apply
9239491845,Cardiovascular,Cardiovascular Subclass 5,Diuretic,Standard cardiovascular contraindications apply
8481478513,Cardiovascular,Cardiovascular Subclass 2,Calcium Channel Blocker,Standard cardiovascular contraindications apply
1485030167,Cardiovascular,Cardiovascular Subclass 3,Diuretic,Standard cardiovascular contraindications apply
4823329121,Cardiovascular,Cardiovascular Subclass 1,ARB,Standard cardiovascular contraindications apply
2654381999,Cardiovascular,Cardiovascular Subclass 3,ACE Inhibitor,Standard cardiovascular contraindications apply
5272553973,Cardiovascular,Cardiovascular Subclass 4,Beta Blocker,Standard cardiovascular contraindications apply
7433191825,Cardiovascular,Cardiovascular Subclass 3,ACE Inhibitor,Standard cardiovascular contraindications apply
9269412174,Cardiovascular,Cardiovascular Subclass 2,ACE Inhibitor,Standard cardiovascular contraindications apply
