ndc,therapeutic_class,subclass,mechanism,contraindications
9072666396,Diabetes,Diabetes Subclass 5,Metformin,Standard diabetes contraindications apply
2980112899,Diabetes,Diabetes Subclass 2,Insulin,Standard diabetes contraindications apply
2849121168,Diabetes,Diabetes Subclass 3,Insulin,Standard diabetes contraindications apply
9226559462,Diabetes,Diabetes Subclass 5,Insulin,Standard diabetes contraindications apply
8793731114,Diabetes,Diabetes Subclass 1,GLP-1 Agonist,Standard diabetes contraindications apply
8635783317,Diabetes,Diabetes Subclass 3,GLP-1 Agonist,Standard diabetes contraindications apply
9183433041,Diabetes,Diabetes Subclass 3,GLP-1 Agonist,Standard diabetes contraindications apply
6534326665,Diabetes,Diabetes Subclass 2,SGLT2 Inhibitor,Standard diabetes contraindications apply
9342741376,Diabetes,Diabetes Subclass 2,SGLT2 Inhibitor,Standard diabetes contraindications apply
6044947090,Diabetes,Diabetes Subclass 4,Insulin,Standard diabetes contraindications apply
5796534416,Diabetes,Diabetes Subclass 2,GLP-1 Agonist,Standard diabetes contraindications apply
1873667361,Diabetes,Diabetes Subclass 5,GLP-1 Agonist,Standard diabetes contraindications apply
9560029491,Diabetes,Diabetes Subclass 3,GLP-1 Agonist,Standard diabetes contraindications apply
3311193987,Diabetes,Diabetes Subclass 4,Metformin,Standard diabetes contraindications apply
8998985526,Diabetes,Diabetes Subclass 2,Insulin,Standard diabetes contraindications apply
8888228275,Diabetes,Diabetes Subclass 5,Insulin,Standard diabetes contraindications apply
3232661467,Diabetes,Diabetes Subclass 3,GLP-1 Agonist,Standard diabetes contraindications apply
6421685180,Diabetes,Diabetes Subclass 2,Metformin,Standard diabetes contraindications apply
5492224080,Diabetes,Diabetes Subclass 2,DPP-4 Inhibitor,Standard diabetes contraindications apply
5248510238,Diabetes,Diabetes Subclass 5,DPP-4 Inhibitor,Standard diabetes contraindications apply
2745872531,Diabetes,Diabetes Subclass 5,Metformin,Standard diabetes contraindications apply
8619526483,Diabetes,Diabetes Subclass 5,Metformin,Standard diabetes contraindications apply
9616136842,Diabetes,Diabetes Subclass 2,DPP-4 Inhibitor,Standard diabetes contraindications apply
2330355787,Diabetes,Diabetes Subclass 4,Insulin,Standard diabetes contraindications apply
2445717762,Diabetes,Diabetes Subclass 3,Metformin,Standard diabetes contraindications apply
8786340622,Diabetes,Diabetes Subclass 2,Metformin,Standard diabetes contraindications apply
2922862844,Diabetes,Diabetes Subclass 3,GLP-1 Agonist,Standard diabetes contraindications apply
9486955095,Diabetes,Diabetes Subclass 5,Metformin,Standard diabetes contraindications apply
4886545682,Diabetes,Diabetes Subclass 3,SGLT2 Inhibitor,Standard diabetes contraindications apply
3889258081,Diabetes,Diabetes Subclass 3,GLP-1 Agonist,Standard diabetes contraindications apply
2964584687,Diabetes,Diabetes Subclass 4,DPP-4 Inhibitor,Standard diabetes contraindications apply
3278377015,Diabetes,Diabetes Subclass 5,Insulin,Standard diabetes contraindications apply
6370956935,Diabetes,Diabetes Subclass 3,DPP-4 Inhibitor,Standard diabetes contraindications apply
6340777917,Diabetes,Diabetes Subclass 4,DPP-4 Inhibitor,Standard diabetes contraindications apply
5359655334,Diabetes,Diabetes Subclass 3,Metformin,Standard diabetes contraindications apply
6258263438,Diabetes,Diabetes Subclass 1,SGLT2 Inhibitor,Standard diabetes contraindications apply
2702828368,Diabetes,Diabetes Subclass 2,Metformin,Standard diabetes contraindications apply
3711340616,Diabetes,Diabetes Subclass 1,DPP-4 Inhibitor,Standard diabetes contraindications apply
3581283391,Diabetes,Diabetes Subclass 5,Insulin,Standard diabetes contraindications apply
1257968219,Diabetes,Diabetes Subclass 5,GLP-1 Agonist,Standard diabetes contraindications apply
4722452558,Diabetes,Diabetes Subclass 1,SGLT2 Inhibitor,Standard diabetes contraindications apply
3021683749,Diabetes,Diabetes Subclass 4,Insulin,Standard diabetes contraindications apply
3080760897,Diabetes,Diabetes Subclass 2,DPP-4 Inhibitor,Standard diabetes contraindications apply
7412122641,Diabetes,Diabetes Subclass 2,Metformin,Standard diabetes contraindications apply
3422475562,Diabetes,Diabetes Subclass 2,DPP-4 Inhibitor,Standard diabetes contraindications apply
5522112535,Diabetes,Diabetes Subclass 4,Insulin,Standard diabetes contraindications apply
3138061518,Diabetes,Diabetes Subclass 4,SGLT2 Inhibitor,Standard diabetes contraindications apply
8617449925,Diabetes,Diabetes Subclass 4,Metformin,Standard diabetes contraindications apply
1377651855,Diabetes,Diabetes Subclass 1,DPP-4 Inhibitor,Standard diabetes contraindications apply
4508527554,Diabetes,Diabetes Subclass 2,Insulin,Standard diabetes contraindications apply
5660390540,Diabetes,Diabetes Subclass 3,GLP-1 Agonist,Standard diabetes contraindications apply
9742118539,Diabetes,Diabetes Subclass 2,Insulin,Standard diabetes contraindications apply
4631813596,Diabetes,Diabetes Subclass 5,DPP-4 Inhibitor,Standard diabetes contraindications apply
3297125537,Diabetes,Diabetes Subclass 5,GLP-1 Agonist,Standard diabetes contraindications apply
6201833146,Diabetes,Diabetes Subclass 4,Metformin,Standard diabetes contraindications apply
6847012113,Diabetes,Diabetes Subclass 5,GLP-1 Agonist,Standard diabetes contraindications apply
1223333612,Diabetes,Diabetes Subclass 1,DPP-4 Inhibitor,Standard diabetes contraindications apply
1159371334,Diabetes,Diabetes Subclass 3,Metformin,Standard diabetes contraindications apply
8871534219,Diabetes,Diabetes Subclass 3,Insulin,Standard diabetes contraindications apply
4830125254,Diabetes,Diabetes Subclass 1,Insulin,Standard diabetes contraindications apply
7495168139,Diabetes,Diabetes Subclass 4,SGLT2 Inhibitor,Standard diabetes contraindications apply
5953453958,Diabetes,Diabetes Subclass 5,DPP-4 Inhibitor,Standard diabetes contraindications apply
8667260279,Diabetes,Diabetes Subclass 4,DPP-4 Inhibitor,Standard diabetes contraindications apply
7508635737,Diabetes,Diabetes Subclass 4,Metformin,Standard diabetes contraindications apply
6815570274,Diabetes,Diabetes Subclass 1,Insulin,Standard diabetes contraindications apply
6944015388,Diabetes,Diabetes Subclass 3,GLP-1 Agonist,Standard diabetes contraindications apply
8852835252,Diabetes,Diabetes Subclass 2,GLP-1 Agonist,Standard diabetes contraindications apply
7919160972,Diabetes,Diabetes Subclass 5,DPP-4 Inhibitor,Standard diabetes contraindications apply
1697115277,Diabetes,Diabetes Subclass 1,Insulin,Standard diabetes contraindications apply
9191641121,Diabetes,Diabetes Subclass 3,Insulin,Standard diabetes contraindications apply
9518774831,Diabetes,Diabetes Subclass 3,GLP-1 Agonist,Standard diabetes contraindications apply
5147194150,Diabetes,Diabetes Subclass 3,SGLT2 Inhibitor,Standard diabetes contraindications apply
1566966934,Diabetes,Diabetes Subclass 5,Metformin,Standard diabetes contraindications apply
5062711481,Diabetes,Diabetes Subclass 3,GLP-1 Agonist,Standard diabetes contraindications apply
