ndc,therapeutic_class,subclass,mechanism,contraindications
6535225321,Neurology,Neurology Subclass 4,Cholinesterase Inhibitor,Standard neurology contraindications apply
9559114244,Neurology,Neurology Subclass 1,Anticonvulsant,Standard neurology contraindications apply
2594227892,Neurology,Neurology Subclass 3,Dopamine Agonist,Standard neurology contraindications apply
2608680823,Neurology,Neurology Subclass 4,Anticonvulsant,Standard neurology contraindications apply
1572319859,Neurology,Neurology Subclass 1,Anticonvulsant,Standard neurology contraindications apply
8781257139,Neurology,Neurology Subclass 5,Anticonvulsant,Standard neurology contraindications apply
2298710862,Neurology,Neurology Subclass 2,Cholinesterase Inhibitor,Standard neurology contraindications apply
9236531782,Neurology,Neurology Subclass 4,Cholinesterase Inhibitor,Standard neurology contraindications apply
1035090750,Neurology,Neurology Subclass 1,Dopamine Agonist,Standard neurology contraindications apply
7112288463,Neurology,Neurology Subclass 4,Cholinesterase Inhibitor,Standard neurology contraindications apply
2603050572,Neurology,Neurology Subclass 5,Anticonvulsant,Standard neurology contraindications apply
2041796711,Neurology,Neurology Subclass 2,Anticonvulsant,Standard neurology contraindications apply
1146379055,Neurology,Neurology Subclass 3,Cholinesterase Inhibitor,Standard neurology contraindications apply
1442243433,Neurology,Neurology Subclass 5,Dopamine Agonist,Standard neurology contraindications apply
4300054640,Neurology,Neurology Subclass 4,Cholinesterase Inhibitor,Standard neurology contraindications apply
1657156146,Neurology,Neurology Subclass 4,Dopamine Agonist,Standard neurology contraindications apply
9796976534,Neurology,Neurology Subclass 2,Cholinesterase Inhibitor,Standard neurology contraindications apply
1953239540,Neurology,Neurology Subclass 2,Dopamine Agonist,Standard neurology contraindications apply
1969892373,Neurology,Neurology Subclass 5,Cholinesterase Inhibitor,Standard neurology contraindications apply
4419977996,Neurology,Neurology Subclass 1,Anticonvulsant,Standard neurology contraindications apply
6951453364,Neurology,Neurology Subclass 1,Dopamine Agonist,Standard neurology contraindications apply
6868120841,Neurology,Neurology Subclass 3,Cholinesterase Inhibitor,Standard neurology contraindications apply
8967771066,Neurology,Neurology Subclass 2,Anticonvulsant,Standard neurology contraindications apply
9127044695,Neurology,Neurology Subclass 4,Anticonvulsant,Standard neurology contraindications apply
4935378666,Neurology,Neurology Subclass 2,Anticonvulsant,Standard neurology contraindications apply
7998716393,Neurology,Neurology Subclass 5,Cholinesterase Inhibitor,Standard neurology contraindications apply
4346227255,Neurology,Neurology Subclass 4,Dopamine Agonist,Standard neurology contraindications apply
6388187175,Neurology,Neurology Subclass 3,Dopamine Agonist,Standard neurology contraindications apply
8085941573,Neurology,Neurology Subclass 5,Cholinesterase Inhibitor,Standard neurology contraindications apply
5371623376,Neurology,Neurology Subclass 2,Dopamine Agonist,Standard neurology contraindications apply
7918826799,Neurology,Neurology Subclass 2,Dopamine Agonist,Standard neurology contraindications apply
2320147731,Neurology,Neurology Subclass 4,Cholinesterase Inhibitor,Standard neurology contraindications apply
3362258620,Neurology,Neurology Subclass 4,Dopamine Agonist,Standard neurology contraindications apply
9687260921,Neurology,Neurology Subclass 2,Anticonvulsant,Standard neurology contraindications apply
8483917975,Neurology,Neurology Subclass 4,Anticonvulsant,Standard neurology contraindications apply
4938310834,Neurology,Neurology Subclass 4,Cholinesterase Inhibitor,Standard neurology contraindications apply
9297178688,Neurology,Neurology Subclass 3,Dopamine Agonist,Standard neurology contraindications apply
2142286077,Neurology,Neurology Subclass 5,Anticonvulsant,Standard neurology contraindications apply
2631440449,Neurology,Neurology Subclass 5,Dopamine Agonist,Standard neurology contraindications apply
8717221014,Neurology,Neurology Subclass 2,Dopamine Agonist,Standard neurology contraindications apply
8675493150,Neurology,Neurology Subclass 5,Cholinesterase Inhibitor,Standard neurology contraindications apply
8277222521,Neurology,Neurology Subclass 4,Dopamine Agonist,Standard neurology contraindications apply
3236946866,Neurology,Neurology Subclass 2,Anticonvulsant,Standard neurology contraindications apply
5338487443,Neurology,Neurology Subclass 5,Cholinesterase Inhibitor,Standard neurology contraindications apply
8743831647,Neurology,Neurology Subclass 4,Cholinesterase Inhibitor,Standard neurology contraindications apply
2374058239,Neurology,Neurology Subclass 5,Cholinesterase Inhibitor,Standard neurology contraindications apply
1287695113,Neurology,Neurology Subclass 3,Anticonvulsant,Standard neurology contraindications apply
1541953484,Neurology,Neurology Subclass 4,Dopamine Agonist,Standard neurology contraindications apply
2391482026,Neurology,Neurology Subclass 3,Anticonvulsant,Standard neurology contraindications apply
8314215053,Neurology,Neurology Subclass 4,Dopamine Agonist,Standard neurology contraindications apply
6923561964,Neurology,Neurology Subclass 1,Anticonvulsant,Standard neurology contraindications apply
3974330173,Neurology,Neurology Subclass 4,Cholinesterase Inhibitor,Standard neurology contraindications apply
7567497868,Neurology,Neurology Subclass 2,Dopamine Agonist,Standard neurology contraindications apply
4602369723,Neurology,Neurology Subclass 4,Dopamine Agonist,Standard neurology contraindications apply
1926195725,Neurology,Neurology Subclass 3,Cholinesterase Inhibitor,Standard neurology contraindications apply
9018627329,Neurology,Neurology Subclass 2,Cholinesterase Inhibitor,Standard neurology contraindications apply
4430214556,Neurology,Neurology Subclass 2,Cholinesterase Inhibitor,Standard neurology contraindications apply
4668162527,Neurology,Neurology Subclass 1,Dopamine Agonist,Standard neurology contraindications apply
9912945766,Neurology,Neurology Subclass 2,Anticonvulsant,Standard neurology contraindications apply
4759611669,Neurology,Neurology Subclass 2,Dopamine Agonist,Standard neurology contraindications apply
1259695150,Neurology,Neurology Subclass 2,Anticonvulsant,Standard neurology contraindications apply
6041575214,Neurology,Neurology Subclass 5,Dopamine Agonist,Standard neurology contraindications apply
4521858424,Neurology,Neurology Subclass 3,Cholinesterase Inhibitor,Standard neurology contraindications apply
2664186474,Neurology,Neurology Subclass 2,Anticonvulsant,Standard neurology contraindications apply
9412914669,Neurology,Neurology Subclass 3,Dopamine Agonist,Standard neurology contraindications apply
5970830625,Neurology,Neurology Subclass 3,Cholinesterase Inhibitor,Standard neurology contraindications apply
5407429838,Neurology,Neurology Subclass 4,Dopamine Agonist,Standard neurology contraindications apply
3046173229,Neurology,Neurology Subclass 1,Dopamine Agonist,Standard neurology contraindications apply
9016712824,Neurology,Neurology Subclass 1,Dopamine Agonist,Standard neurology contraindications apply
8113467516,Neurology,Neurology Subclass 3,Cholinesterase Inhibitor,Standard neurology contraindications apply
2014424832,Neurology,Neurology Subclass 3,Cholinesterase Inhibitor,Standard neurology contraindications apply
5603037038,Neurology,Neurology Subclass 4,Dopamine Agonist,Standard neurology contraindications apply
4486361251,Neurology,Neurology Subclass 3,Dopamine Agonist,Standard neurology contraindications apply
3935564735,Neurology,Neurology Subclass 5,Anticonvulsant,Standard neurology contraindications apply
7034825260,Neurology,Neurology Subclass 3,Anticonvulsant,Standard neurology contraindications apply
3152469969,Neurology,Neurology Subclass 2,Cholinesterase Inhibitor,Standard neurology contraindications apply
4018915511,Neurology,Neurology Subclass 1,Dopamine Agonist,Standard neurology contraindications apply
5444199216,Neurology,Neurology Subclass 5,Dopamine Agonist,Standard neurology contraindications apply
9631188313,Neurology,Neurology Subclass 5,Anticonvulsant,Standard neurology contraindications apply
7420162547,Neurology,Neurology Subclass 2,Cholinesterase Inhibitor,Standard neurology contraindications apply
