ndc,therapeutic_class,subclass,mechanism,contraindications
2958098264,Respiratory,Respiratory Subclass 3,Anticholinergic,Standard respiratory contraindications apply
5284497110,Respiratory,Respiratory Subclass 4,Corticosteroid,Standard respiratory contraindications apply
6796620042,Respiratory,Respiratory Subclass 4,Beta Agonist,Standard respiratory contraindications apply
9796116535,Respiratory,Respiratory Subclass 2,Anticholinergic,Standard respiratory contraindications apply
8221323537,Respiratory,Respiratory Subclass 1,Corticosteroid,Standard respiratory contraindications apply
5368552720,Respiratory,Respiratory Subclass 2,Beta Agonist,Standard respiratory contraindications apply
7218737235,Respiratory,Respiratory Subclass 3,Corticosteroid,Standard respiratory contraindications apply
8457883615,Respiratory,Respiratory Subclass 3,Beta Agonist,Standard respiratory contraindications apply
7077980083,Respiratory,Respiratory Subclass 2,Beta Agonist,Standard respiratory contraindications apply
7043749142,Respiratory,Respiratory Subclass 2,Leukotriene Modifier,Standard respiratory contraindications apply
5688865233,Respiratory,Respiratory Subclass 2,Corticosteroid,Standard respiratory contraindications apply
6030668222,Respiratory,Respiratory Subclass 3,Corticosteroid,Standard respiratory contraindications apply
6931826864,Respiratory,Respiratory Subclass 1,Corticosteroid,Standard respiratory contraindications apply
1736113855,Respiratory,Respiratory Subclass 5,Leukotriene Modifier,Standard respiratory contraindications apply
4688315633,Respiratory,Respiratory Subclass 3,Leukotriene Modifier,Standard respiratory contraindications apply
6966097836,Respiratory,Respiratory Subclass 1,Anticholinergic,Standard respiratory contraindications apply
9112397518,Respiratory,Respiratory Subclass 5,Leukotriene Modifier,Standard respiratory contraindications apply
7637782229,Respiratory,Respiratory Subclass 3,Corticosteroid,Standard respiratory contraindications apply
3039023467,Respiratory,Respiratory Subclass 2,Anticholinergic,Standard respiratory contraindications apply
2451565653,Respiratory,Respiratory Subclass 5,Corticosteroid,Standard respiratory contraindications apply
9130859773,Respiratory,Respiratory Subclass 5,Anticholinergic,Standard respiratory contraindications apply
2081663531,Respiratory,Respiratory Subclass 3,Corticosteroid,Standard respiratory contraindications apply
1865374290,Respiratory,Respiratory Subclass 4,Corticosteroid,Standard respiratory contraindications apply
3030023140,Respiratory,Respiratory Subclass 5,Beta Agonist,Standard respiratory contraindications apply
1771265230,Respiratory,Respiratory Subclass 5,Beta Agonist,Standard respiratory contraindications apply
7511568790,Respiratory,Respiratory Subclass 5,Beta Agonist,Standard respiratory contraindications apply
8037695616,Respiratory,Respiratory Subclass 3,Anticholinergic,Standard respiratory contraindications apply
6589231932,Respiratory,Respiratory Subclass 5,Corticosteroid,Standard respiratory contraindications apply
3329744211,Respiratory,Respiratory Subclass 3,Corticosteroid,Standard respiratory contraindications apply
6537720614,Respiratory,Respiratory Subclass 2,Anticholinergic,Standard respiratory contraindications apply
6697820840,Respiratory,Respiratory Subclass 3,Leukotriene Modifier,Standard respiratory contraindications apply
2914929612,Respiratory,Respiratory Subclass 1,Leukotriene Modifier,Standard respiratory contraindications apply
9514274781,Respiratory,Respiratory Subclass 5,Beta Agonist,Standard respiratory contraindications apply
5406360583,Respiratory,Respiratory Subclass 3,Beta Agonist,Standard respiratory contraindications apply
5349365710,Respiratory,Respiratory Subclass 3,Beta Agonist,Standard respiratory contraindications apply
7887825445,Respiratory,Respiratory Subclass 5,Beta Agonist,Standard respiratory contraindications apply
8099538650,Respiratory,Respiratory Subclass 3,Corticosteroid,Standard respiratory contraindications apply
7777579148,Respiratory,Respiratory Subclass 5,Corticosteroid,Standard respiratory contraindications apply
1576760258,Respiratory,Respiratory Subclass 5,Anticholinergic,Standard respiratory contraindications apply
4056070647,Respiratory,Respiratory Subclass 1,Anticholinergic,Standard respiratory contraindications apply
5977361595,Respiratory,Respiratory Subclass 3,Leukotriene Modifier,Standard respiratory contraindications apply
9346992895,Respiratory,Respiratory Subclass 5,Beta Agonist,Standard respiratory contraindications apply
6830359429,Respiratory,Respiratory Subclass 3,Leukotriene Modifier,Standard respiratory contraindications apply
8978272942,Respiratory,Respiratory Subclass 2,Corticosteroid,Standard respiratory contraindications apply
2625489050,Respiratory,Respiratory Subclass 5,Leukotriene Modifier,Standard respiratory contraindications apply
6703356812,Respiratory,Respiratory Subclass 5,Anticholinergic,Standard respiratory contraindications apply
3624196649,Respiratory,Respiratory Subclass 1,Corticosteroid,Standard respiratory contraindications apply
7959883071,Respiratory,Respiratory Subclass 3,Leukotriene Modifier,Standard respiratory contraindications apply
6502553441,Respiratory,Respiratory Subclass 3,Beta Agonist,Standard respiratory contraindications apply
5187282296,Respiratory,Respiratory Subclass 5,Leukotriene Modifier,Standard respiratory contraindications apply
1920427068,Respiratory,Respiratory Subclass 5,Corticosteroid,Standard respiratory contraindications apply
4661554884,Respiratory,Respiratory Subclass 4,Corticosteroid,Standard respiratory contraindications apply
3104186186,Respiratory,Respiratory Subclass 2,Beta Agonist,Standard respiratory contraindications apply
1682325144,Respiratory,Respiratory Subclass 3,Anticholinergic,Standard respiratory contraindications apply
6909831878,Respiratory,Respiratory Subclass 4,Beta Agonist,Standard respiratory contraindications apply
9743119268,Respiratory,Respiratory Subclass 2,Leukotriene Modifier,Standard respiratory contraindications apply
1107497065,Respiratory,Respiratory Subclass 2,Corticosteroid,Standard respiratory contraindications apply
4439940127,Respiratory,Respiratory Subclass 2,Corticosteroid,Standard respiratory contraindications apply
