ndc,change_type,old_value,new_value,change_date,reason
1784174696,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-01-07,Routine manufacturer change
6365791853,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-01-10,Routine formulary change
3506779238,New Product,Old New Product value,New New Product value,2024-01-21,Routine new product
1306945179,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-01-04,Routine discontinuation
8721366582,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-01-09,Routine manufacturer change
5913381341,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-01-23,Routine manufacturer change
5463158520,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-01-13,Routine discontinuation
7126696391,New Product,Old New Product value,New New Product value,2024-01-18,Routine new product
1933273033,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-01-27,Routine manufacturer change
9719962659,New Product,Old New Product value,New New Product value,2024-01-25,Routine new product
8181162786,New Product,Old New Product value,New New Product value,2024-01-08,Routine new product
7593954322,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-01-24,Routine manufacturer change
7100858851,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-01-12,Routine manufacturer change
3775231115,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-01-05,Routine manufacturer change
1630814850,Price Update,Old Price Update value,New Price Update value,2024-01-23,Routine price update
6200725172,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-01-07,Routine formulary change
8582631848,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-01-08,Routine formulary change
8294437015,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-01-08,Routine discontinuation
5881139270,Price Update,Old Price Update value,New Price Update value,2024-01-21,Routine price update
8566812792,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-01-28,Routine discontinuation
9134935943,Price Update,Old Price Update value,New Price Update value,2024-01-01,Routine price update
8901425358,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-01-26,Routine discontinuation
1492870422,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-01-18,Routine manufacturer change
8257919151,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-01-14,Routine formulary change
2179861526,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-01-01,Routine discontinuation
3303835248,New Product,Old New Product value,New New Product value,2024-01-24,Routine new product
6041626926,New Product,Old New Product value,New New Product value,2024-01-04,Routine new product
7480756075,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-01-02,Routine formulary change
1388072150,Price Update,Old Price Update value,New Price Update value,2024-01-02,Routine price update
6690243568,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-01-12,Routine manufacturer change
4208890141,New Product,Old New Product value,New New Product value,2024-01-18,Routine new product
5084532372,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-01-08,Routine formulary change
4919468391,New Product,Old New Product value,New New Product value,2024-01-04,Routine new product
3036227512,Price Update,Old Price Update value,New Price Update value,2024-01-28,Routine price update
9373727586,Price Update,Old Price Update value,New Price Update value,2024-01-17,Routine price update
4835680944,New Product,Old New Product value,New New Product value,2024-01-26,Routine new product
2579478072,New Product,Old New Product value,New New Product value,2024-01-17,Routine new product
7911844831,New Product,Old New Product value,New New Product value,2024-01-26,Routine new product
6440055537,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-01-09,Routine formulary change
6873147177,New Product,Old New Product value,New New Product value,2024-01-23,Routine new product
